id,plotid,site,cluster,plot,longitude,latitude,predsoc_stock_20cm,predsoc_stock_30cm,isda SOC stock 20cm,iSDA stock uncertainty,soilGrids SOC stock 30cm,soilGrids uncertainty,OLM 2017 SOC stock 30cm,SA SOC stock 30cm,ADMIN,LDSF_quantity_SOCstock,quartiles,Vegetation,GPW
1,chasimba_11_3_2019,chasimba,11,3,39.6984,-3.74465,16.91335853,38.05505669,21.18603564,8.15082134,37,29,50,,Kenya,Low,Q1,grassland,Other
2,chasimba_11_6_2019,chasimba,11,6,39.6904,-3.74493,12.05058781,27.11382257,24.94822721,9.484377,41,22,40,,Kenya,Low,Q1,wooded_grassland,Other
3,chasimba_14_10_2019,chasimba,14,10,39.7186,-3.76354,16.96030402,38.16068405,22.63053807,4.24053976,32,25,50,,Kenya,Low,Q1,wooded_grassland,Other
4,chasimba_14_5_2019,chasimba,14,5,39.7176,-3.75498,19.98176816,44.95897836,22.30953753,8.37852066,29,23,50,,Kenya,Low,Q2,grassland,Cultivated
5,chasimba_14_7_2019,chasimba,14,7,39.7204,-3.75536,18.05439484,40.62238838,24.94822721,9.484377,28,21,50,,Kenya,Low,Q2,wooded_grassland,Other
6,chasimba_14_9_2019,chasimba,14,9,39.7114,-3.75598,19.20847156,43.219061,25.12771086,9.39544195,31,27,40,,Kenya,Low,Q2,wooded_grassland,Other
7,chasimba_1_3_2019,chasimba,1,3,39.6544,-3.79168,13.48112132,30.33252298,29.96908381,17.09597118,35,30,50,,Kenya,Low,Q1,grassland,Cultivated
8,chasimba_2_10_2019,chasimba,2,10,39.6541,-3.7665,8.2819079,18.63429276,25.48667816,4.69972909,32,21,40,,Kenya,Low,Q1,wooded_grassland,Cultivated
9,chasimba_2_4_2019,chasimba,2,4,39.65,-3.76624,9.63811105,21.68574986,27.66396681,10.33715745,31,24,40,,Kenya,Low,Q1,wooded_grassland,Other
10,chasimba_2_6_2019,chasimba,2,6,39.6479,-3.76707,14.40959887,32.42159745,22.4700378,8.43824676,34,27,40,,Kenya,Low,Q1,wooded_grassland,Cultivated
11,chasimba_2_9_2019,chasimba,2,9,39.6506,-3.75898,10.39054299,23.37872172,25.30719451,4.6840515,32,22,30,,Kenya,Low,Q1,grassland,Cultivated
12,chasimba_3_1_2019,chasimba,3,1,39.6538,-3.74006,12.29313952,27.65956393,21.66753645,4.36310824,33,25,30,,Kenya,Low,Q1,grassland,Cultivated
13,chasimba_3_2_2019,chasimba,3,2,39.6517,-3.74272,10.55876434,23.75721977,25.30719451,9.48952941,32,23,30,,Kenya,Low,Q1,wooded_grassland,Cultivated
14,chasimba_3_4_2019,chasimba,3,4,39.6535,-3.7419,11.71023298,26.3480242,22.14903726,4.20293535,32,26,30,,Kenya,Low,Q1,grassland,Cultivated
15,chasimba_5_2_2019,chasimba,5,2,39.6701,-3.78613,5.28391651,11.88881214,25.48667816,9.55623124,30,27,50,,Kenya,Low,Q1,wooded_grassland,Cultivated
16,chasimba_5_3_2019,chasimba,5,3,39.6734,-3.78757,11.13515068,25.05408903,25.12771086,4.78778703,31,26,40,,Kenya,Low,Q1,wooded_grassland,Cultivated
17,chasimba_5_4_2019,chasimba,5,4,39.6747,-3.79175,7.86331058,17.6924488,24.94822721,4.67396283,32,25,40,,Kenya,Low,Q1,wooded_grassland,Other
18,chasimba_5_7_2019,chasimba,5,7,39.6705,-3.78503,6.15240814,13.84291831,22.14903726,8.37896542,30,27,50,,Kenya,Low,Q1,wooded_grassland,Other
19,chasimba_5_8_2019,chasimba,5,8,39.6755,-3.78344,7.55164466,16.99120048,25.30719451,4.98716824,30,23,40,,Kenya,Low,Q1,wooded_grassland,Other
20,chasimba_6_10_2019,chasimba,6,10,39.6765,-3.75808,8.80613257,19.81379829,27.46350328,10.33429275,39,25,30,,Kenya,Low,Q1,grassland,Other
21,chasimba_8_15_2019,chasimba,8,15,39.6738,-3.71804,7.99241068,17.98292404,29.52178405,16.84714215,44,27,30,,Kenya,Low,Q1,grassland,Other
22,gatunga_11_6_2019,gatunga,11,6,38.0682,-0.120065,8.17628053,18.3966312,17.63379484,3.43065835,27,33,30,,Kenya,Low,Q1,grassland,Natural
23,gatunga_12_7_2019,gatunga,12,7,38.0689,-0.101959,8.90002356,20.02505302,17.37823259,3.42033463,27,35,30,,Kenya,Low,Q1,grassland,Natural
24,gatunga_14_3_2019,gatunga,14,3,38.0896,-0.140327,9.90804764,22.29310718,15.92050443,3.18120357,26,26,20,,Kenya,Low,Q1,grassland,Cultivated
25,gatunga_14_5_2019,gatunga,14,5,38.0959,-0.143493,8.14628758,18.32914706,19.49198216,7.35657599,31,27,20,,Kenya,Low,Q1,grassland,Other
26,gatunga_15_2_2019,gatunga,15,2,38.0899,-0.127244,8.55184448,19.24165009,15.69306865,3.0551075,26,23,20,,Kenya,Low,Q1,grassland,Natural
27,gatunga_1_10_2019,gatunga,1,10,38.0258,-0.159818,10.62787854,23.91272671,19.77862895,3.79428727,30,38,30,,Kenya,Low,Q1,grassland,Natural
28,gatunga_1_1_2019,gatunga,1,1,38.0224,-0.161008,18.61513268,41.88404852,17.76157596,3.48911005,32,35,30,,Kenya,Low,Q2,grassland,Natural
29,gatunga_1_3_2019,gatunga,1,3,38.0237,-0.162175,17.99092333,40.47957749,17.88935708,3.42020473,32,38,30,,Kenya,Low,Q2,grassland,Natural
30,gatunga_1_4_2019,gatunga,1,4,38.0246,-0.166871,9.76460307,21.97035691,16.2616581,3.34521925,29,39,30,,Kenya,Low,Q1,grassland,Natural
31,gatunga_1_9_2019,gatunga,1,9,38.0206,-0.166587,11.19122446,25.18025504,16.03422232,0.56858944,30,31,30,,Kenya,Low,Q1,wooded_grassland,Natural
32,gatunga_3_10_2019,gatunga,3,10,38.0233,-0.128005,11.42595193,25.70839185,15.80678654,3.50157245,29,33,30,,Kenya,Low,Q1,grassland,Natural
33,gatunga_3_2_2019,gatunga,3,2,38.0163,-0.128513,16.39043789,36.87848526,18.91868856,3.8413872,28,35,30,,Kenya,Low,Q1,grassland,Other
34,gatunga_3_5_2019,gatunga,3,5,38.0209,-0.121074,10.39054299,23.37872172,19.20533536,4.06957661,28,34,50,,Kenya,Low,Q1,grassland,Natural
35,gatunga_5_7_2019,gatunga,5,7,38.0502,-0.16881,17.32934777,38.99103247,16.14794021,0.79602522,30,38,20,,Kenya,Low,Q1,grassland,Natural
36,gatunga_5_9_2019,gatunga,5,9,38.0535,-0.168904,16.03106193,36.06988934,18.14491932,3.55801306,29,39,20,,Kenya,Low,Q1,grassland,Natural
37,gatunga_6_3_2019,gatunga,6,3,38.0478,-0.152073,22.08127496,49.68286867,19.63530555,7.4657178,30,33,40,,Kenya,Low,Q2,grassland,Natural
38,gatunga_6_4_2019,gatunga,6,4,38.049,-0.150624,11.59808541,26.09569217,17.50601371,3.4074942,30,37,20,,Kenya,Low,Q1,grassland,Natural
39,gatunga_7_10_2019,gatunga,7,10,38.0424,-0.119085,10.28752371,23.14692835,17.25045147,3.30239313,28,34,30,,Kenya,Low,Q1,grassland,Natural
40,gatunga_8_10_2019,gatunga,8,10,38.0517,-0.0992735,16.25351354,36.57040545,19.63530555,7.41048435,27,37,30,,Kenya,Low,Q1,grassland,Other
41,gatunga_8_7_2019,gatunga,8,7,38.0554,-0.0939265,12.10144542,27.22825221,17.25045147,3.4828726,26,35,30,,Kenya,Low,Q1,grassland,Natural
42,gatunga_8_8_2019,gatunga,8,8,38.0521,-0.0968877,11.38943877,25.62623723,17.50601371,3.34949912,27,36,20,,Kenya,Low,Q1,grassland,Natural
43,kayonza_10_4_2018,kayonza,10,4,30.6137,-1.98171,27.29483285,61.41337391,47.33213156,10.08989885,56,16,60,,Rwanda,Low,Q2,grassland,Other
44,kayonza_13_10_2018,kayonza,13,10,30.6373,-2.00427,32.84613748,73.90380932,47.7138423,9.20385429,60,18,60,,Rwanda,High,Q2,wooded_grassland,Other
45,kayonza_3_2_2018,kayonza,3,2,30.5705,-1.96699,35.89629053,80.76665369,49.24068525,9.16659406,68,19,50,,Rwanda,High,Q3,grassland,Other
46,kayonza_3_6_2018,kayonza,3,6,30.5713,-1.96657,37.32682404,83.9853541,48.09555304,9.26486226,65,19,70,,Rwanda,High,Q3,grassland,Other
47,kayonza_4_8_2018,kayonza,4,8,30.563,-1.94121,24.84062676,55.89141021,42.59188052,5.15224361,62,15,70,,Rwanda,Low,Q2,grassland,Other
48,ketane_10_11_2018,ketane,10,11,28.0179,-29.7658,46.71983491,105.1196286,46.18699935,34.90249972,57,29,90,110.5,Lesotho,High,Q3,wooded_grassland,Other
49,ketane_10_12_2018,ketane,10,12,28.0113,-29.7625,64.41437391,144.9323413,44.30929505,33.72457699,58,29,70,105.5,Lesotho,High,Q4,grassland,Natural
50,ketane_10_2_2018,ketane,10,2,28.0149,-29.7661,44.36082385,99.81185366,41.21794889,31.32584572,55,28,70,115.5999985,Lesotho,High,Q3,grassland,Natural
51,ketane_10_4_2018,ketane,10,4,28.012,-29.7652,49.71130609,111.8504387,38.92050986,21.79226414,57,29,70,113.3000031,Lesotho,High,Q3,grassland,Natural
52,ketane_10_7_2018,ketane,10,7,28.0196,-29.7635,36.64611439,82.45375737,43.27884633,23.81104565,56,30,70,110.5999985,Lesotho,High,Q3,grassland,Natural
53,ketane_10_8_2018,ketane,10,8,28.0123,-29.762,37.0960087,83.46601957,48.85897452,36.86146897,55,29,70,109.3000031,Lesotho,High,Q3,grassland,Natural
54,ketane_10_9_2018,ketane,10,9,28.0197,-29.7634,37.78193452,85.00935268,43.62232924,23.90744138,56,30,70,115,Lesotho,High,Q3,grassland,Natural
55,ketane_11_10_2018,ketane,11,10,28.0102,-29.7433,40.62996114,91.41741257,46.56871008,25.61720605,50,28,60,113.5999985,Lesotho,High,Q3,wooded_grassland,Natural
56,ketane_11_14_2018,ketane,11,14,28.0103,-29.7417,36.40225863,81.90508191,37.06715225,13.91213531,52,31,60,111.5,Lesotho,High,Q3,wooded_grassland,Natural
57,ketane_11_1_2018,ketane,11,1,28.0108,-29.7431,35.18558791,79.16757281,42.59188052,23.44101949,50,31,50,110,Lesotho,High,Q3,wooded_grassland,Natural
58,ketane_11_3_2018,ketane,11,3,28.0128,-29.7445,51.04012437,114.8402798,35.25451857,12.84779671,53,28,70,104.699997,Lesotho,High,Q4,grassland,Natural
59,ketane_11_4_2018,ketane,11,4,28.0093,-29.7453,60.48748631,136.0968442,43.62232924,23.90744138,54,28,60,107.5,Lesotho,High,Q4,wooded_grassland,Natural
60,ketane_11_5_2018,ketane,11,5,28.0086,-29.7428,26.88405978,60.4891345,43.27884633,23.91980429,55,30,60,113.199997,Lesotho,Low,Q2,wooded_grassland,Natural
61,ketane_11_8_2018,ketane,11,8,28.0115,-29.7416,38.32050366,86.22113324,42.93536343,15.49558816,52,31,60,106.699997,Lesotho,High,Q3,wooded_grassland,Natural
62,ketane_12_13_2018,ketane,12,13,28.0107,-29.7202,49.69565759,111.8152296,52.9948782,29.73460109,56,32,80,109.0999985,Lesotho,High,Q3,wooded_grassland,Other
63,ketane_12_1_2018,ketane,12,1,28.0107,-29.7192,46.93760984,105.6096221,52.57091917,29.51613942,56,32,80,108.5999985,Lesotho,High,Q3,wooded_grassland,Natural
64,ketane_12_4_2018,ketane,12,4,28.0121,-29.7235,46.98325129,105.7123154,48.09555304,26.58001375,56,32,60,108.3000031,Lesotho,High,Q3,wooded_grassland,Natural
65,ketane_12_5_2018,ketane,12,5,28.0106,-29.7203,47.97693091,107.9480945,52.9948782,29.73460109,56,32,80,109.0999985,Lesotho,High,Q3,wooded_grassland,Other
66,ketane_12_6_2018,ketane,12,6,28.0117,-29.7192,43.29020579,97.40296302,52.57091917,29.28382063,56,32,80,111.9000015,Lesotho,High,Q3,wooded_grassland,Natural
67,ketane_13_10_2018,ketane,13,10,28.0351,-29.7769,43.5862232,98.06900221,42.93536343,32.5916958,50,32,50,103.9000015,Lesotho,High,Q3,grassland,Natural
68,ketane_13_11_2018,ketane,13,11,28.0317,-29.7776,34.49574996,77.61543742,40.46497454,14.70088461,46,24,70,97.69999695,Lesotho,High,Q2,grassland,Natural
69,ketane_13_12_2018,ketane,13,12,28.0313,-29.7767,54.50920406,122.6457091,35.80970784,13.19529758,46,26,70,90.59999847,Lesotho,High,Q4,grassland,Natural
70,ketane_13_13_2018,ketane,13,13,28.0368,-29.7762,49.79989682,112.0497678,42.93536343,24.17884012,49,32,60,105.199997,Lesotho,High,Q4,grassland,Natural
71,ketane_13_2_2018,ketane,13,2,28.0316,-29.7754,41.57017506,93.53289388,39.2294028,14.65778011,52,26,70,98.30000305,Lesotho,High,Q3,grassland,Natural
72,ketane_13_4_2018,ketane,13,4,28.0383,-29.7764,43.70489098,98.33600471,42.24839761,32.42352117,53,33,60,107.5999985,Lesotho,High,Q3,grassland,Natural
73,ketane_13_6_2018,ketane,13,6,28.0367,-29.7765,37.10774507,83.49242641,43.27884633,24.19443849,50,32,60,105.5999985,Lesotho,High,Q3,grassland,Natural
74,ketane_13_7_2018,ketane,13,7,28.0357,-29.7778,44.05698218,99.12820991,34.6993293,13.67748195,50,25,60,102.5,Lesotho,High,Q3,grassland,Natural
75,ketane_13_8_2018,ketane,13,8,28.0315,-29.776,43.23543604,97.2797311,35.80970784,13.0897579,52,26,70,96.5,Lesotho,High,Q3,grassland,Natural
76,ketane_14_10_2018,ketane,14,10,28.0351,-29.7534,33.17605998,74.64613494,43.62232924,32.94302698,57,29,60,109.199997,Lesotho,High,Q2,wooded_grassland,Natural
77,ketane_14_11_2018,ketane,14,11,28.0328,-29.7582,50.29030051,113.1531762,38.61161693,14.21467937,53,28,70,110.699997,Lesotho,High,Q4,grassland,Natural
78,ketane_14_12_2018,ketane,14,12,28.0365,-29.757,48.36423123,108.8195203,42.24839761,23.36739596,56,30,60,113.0999985,Lesotho,High,Q3,wooded_grassland,Other
79,ketane_14_1_2018,ketane,14,1,28.0332,-29.7566,36.81042361,82.82345313,42.59188052,23.55148694,52,29,80,108.4000015,Lesotho,High,Q3,grassland,Natural
80,ketane_14_3_2018,ketane,14,3,28.0348,-29.7551,39.74712505,89.43103137,42.93536343,23.7356234,52,28,60,113,Lesotho,High,Q3,grassland,Natural
81,ketane_14_7_2018,ketane,14,7,28.0358,-29.7573,43.14545718,97.07727866,42.24839761,23.43042268,59,27,60,110.8000031,Lesotho,High,Q3,wooded_grassland,Natural
82,ketane_14_8_2018,ketane,14,8,28.0336,-29.7551,44.57338261,100.2901109,48.09555304,26.2351719,52,28,60,113.199997,Lesotho,High,Q3,grassland,Natural
83,ketane_14_9_2018,ketane,14,9,28.0329,-29.7569,43.61360808,98.13061817,41.9049147,23.3885487,52,28,80,106.5999985,Lesotho,High,Q3,grassland,Natural
84,ketane_15_10_2018,ketane,15,10,28.041,-29.7382,49.49222712,111.357511,51.72300112,28.27742203,59,27,80,110.5999985,Lesotho,High,Q3,wooded_grassland,Natural
85,ketane_15_13_2018,ketane,15,13,28.0406,-29.7401,43.52754134,97.93696801,45.42357787,25.2633368,59,29,70,109,Lesotho,High,Q3,wooded_grassland,Natural
86,ketane_15_14_2018,ketane,15,14,28.0407,-29.7411,48.31467765,108.7080247,48.09555304,26.09316744,55,31,60,109.5999985,Lesotho,High,Q3,wooded_grassland,Natural
87,ketane_15_15_2018,ketane,15,15,28.033,-29.7404,41.64450542,93.7001372,48.09555304,26.58001375,56,30,80,110.8000031,Lesotho,High,Q3,wooded_grassland,Natural
88,ketane_15_2_2018,ketane,15,2,28.0369,-29.738,47.88434396,107.7397739,52.57091917,28.72609832,60,28,60,107.3000031,Lesotho,High,Q3,wooded_grassland,Natural
89,ketane_15_4_2018,ketane,15,4,28.0392,-29.7383,46.85545523,105.4247743,56.94872308,42.43045717,57,26,70,109.199997,Lesotho,High,Q3,wooded_grassland,Natural
90,ketane_15_5_2018,ketane,15,5,28.0335,-29.7408,36.64481034,82.45082327,44.30929505,24.53279101,56,30,70,109.699997,Lesotho,High,Q3,wooded_grassland,Natural
91,ketane_15_6_2018,ketane,15,6,28.0369,-29.7404,46.96760279,105.6771063,43.27884633,23.81104565,55,29,60,111.0999985,Lesotho,High,Q3,wooded_grassland,Natural
92,ketane_15_7_2018,ketane,15,7,28.0353,-29.7408,38.83429601,87.37716602,44.99626087,24.73663396,55,29,70,110.0999985,Lesotho,High,Q3,wooded_grassland,Natural
93,ketane_15_9_2018,ketane,15,9,28.0346,-29.7385,44.23302778,99.52431252,52.57091917,28.80420553,56,28,80,114.0999985,Lesotho,High,Q3,wooded_grassland,Natural
94,ketane_16_11_2018,ketane,16,11,28.0338,-29.7122,43.59404745,98.08660677,48.09555304,26.13501356,63,24,100,116.5999985,Lesotho,High,Q3,grassland,Natural
95,ketane_16_15_2018,ketane,16,15,28.0388,-29.7159,55.74380203,125.4235546,54.26675528,29.38042369,70,22,80,120.5,Lesotho,High,Q4,wooded_grassland,Natural
96,ketane_16_2_2018,ketane,16,2,28.04,-29.7135,52.04293228,117.0965976,46.56871008,25.61720605,70,22,90,108.9000015,Lesotho,High,Q4,grassland,Natural
97,ketane_16_9_2018,ketane,16,9,28.0361,-29.7171,48.93148928,110.0958509,58.3606749,31.60045416,62,26,80,115.5999985,Lesotho,High,Q3,wooded_grassland,Natural
98,ketane_1_11_2018,ketane,1,11,27.9683,-29.7851,45.49012378,102.3527785,50.00410673,27.5867249,62,27,60,111.699997,Lesotho,High,Q3,grassland,Natural
99,ketane_1_12_2018,ketane,1,12,27.9677,-29.7853,51.40726516,115.6663466,53.84279625,30.17194787,62,27,60,113.4000015,Lesotho,High,Q4,grassland,Natural
100,ketane_1_13_2018,ketane,1,13,27.9726,-29.7811,42.33043125,95.24347031,43.27884633,23.72169042,62,25,70,104.699997,Lesotho,High,Q3,grassland,Natural
101,ketane_1_15_2018,ketane,1,15,27.9702,-29.782,47.43966581,106.7392481,51.72300112,28.63116514,64,25,60,104.9000015,Lesotho,High,Q3,grassland,Natural
102,ketane_1_3_2018,ketane,1,3,27.9732,-29.7791,56.7766029,127.7473565,52.14696015,39.01326898,63,27,70,113,Lesotho,High,Q4,grassland,Natural
103,ketane_1_4_2018,ketane,1,4,27.9702,-29.7817,53.09920589,119.4732133,46.95042082,25.97686353,64,25,60,105.0999985,Lesotho,High,Q4,grassland,Natural
104,ketane_1_5_2018,ketane,1,5,27.9683,-29.7846,50.88557543,114.4925447,49.62239599,27.38524411,62,27,60,114.0999985,Lesotho,High,Q4,grassland,Natural
105,ketane_1_7_2018,ketane,1,7,27.9697,-29.7797,48.81291626,109.8290616,48.47726378,26.55996025,63,26,60,107.0999985,Lesotho,High,Q3,grassland,Natural
106,ketane_1_8_2018,ketane,1,8,27.9689,-29.7817,48.81021342,109.8229802,53.41883723,39.88975854,64,25,60,107.8000031,Lesotho,High,Q3,grassland,Natural
107,ketane_2_13_2018,ketane,2,13,27.9732,-29.762,47.04584528,105.8531519,46.95042082,26.25303877,62,28,60,110.8000031,Lesotho,High,Q3,grassland,Natural
108,ketane_2_14_2018,ketane,2,14,27.97,-29.7637,49.21707437,110.7384173,47.33213156,17.23579707,62,28,70,102.3000031,Lesotho,High,Q3,wooded_grassland,Natural
109,ketane_2_1_2018,ketane,2,1,27.9745,-29.7639,51.44176915,115.7439806,46.95042082,17.44819529,63,29,60,103.5999985,Lesotho,High,Q4,grassland,Natural
110,ketane_2_2_2018,ketane,2,2,27.9767,-29.7622,45.62444006,102.6549901,52.9948782,29.20088667,63,27,70,113.8000031,Lesotho,High,Q3,wooded_grassland,Other
111,ketane_2_3_2018,ketane,2,3,27.9707,-29.7639,54.32630893,122.2341951,46.56871008,17.32167136,62,28,70,104,Lesotho,High,Q4,grassland,Natural
112,ketane_2_5_2018,ketane,2,5,27.9698,-29.7637,48.54027683,109.2156229,52.57091917,28.72609832,62,28,70,102.3000031,Lesotho,High,Q3,wooded_grassland,Natural
113,ketane_2_6_2018,ketane,2,6,27.9694,-29.7645,49.14926421,110.5858445,46.18699935,25.5751573,58,28,70,104.4000015,Lesotho,High,Q3,grassland,Natural
114,ketane_2_7_2018,ketane,2,7,27.9732,-29.7636,49.12579146,110.5330308,52.14696015,28.75600317,62,29,60,102.4000015,Lesotho,High,Q3,grassland,Natural
115,ketane_2_8_2018,ketane,2,8,27.9704,-29.7634,53.28437978,119.8898545,41.9049147,15.75052603,62,26,70,103.0999985,Lesotho,High,Q4,grassland,Natural
116,ketane_3_10_2018,ketane,3,10,27.9695,-29.743,49.59263832,111.5834362,48.85897452,26.54423519,55,27,60,115.5,Lesotho,High,Q3,wooded_grassland,Natural
117,ketane_3_12_2018,ketane,3,12,27.9706,-29.7404,41.02986955,92.31720649,49.62239599,27.05066929,54,30,60,111.699997,Lesotho,High,Q3,wooded_grassland,Natural
118,ketane_3_13_2018,ketane,3,13,27.9703,-29.7435,55.92767188,125.8372617,53.84279625,40.1027307,55,27,60,114.8000031,Lesotho,High,Q4,wooded_grassland,Natural
119,ketane_3_14_2018,ketane,3,14,27.9712,-29.7401,49.23924307,110.7882969,48.47726378,26.55996025,58,30,50,117.9000015,Lesotho,High,Q3,wooded_grassland,Natural
120,ketane_3_15_2018,ketane,3,15,27.9695,-29.7415,54.02377131,121.5534854,53.84279625,40.20121422,54,27,60,111.0999985,Lesotho,High,Q4,wooded_grassland,Natural
121,ketane_3_3_2018,ketane,3,3,27.963,-29.7401,46.16216847,103.8648791,48.47726378,36.40775255,60,28,80,118,Lesotho,High,Q3,wooded_grassland,Natural
122,ketane_3_6_2018,ketane,3,6,27.9702,-29.7392,44.30475007,99.68568765,48.47726378,26.55996025,58,30,70,119.199997,Lesotho,High,Q3,wooded_grassland,Natural
123,ketane_3_7_2018,ketane,3,7,27.9629,-29.7408,61.54496548,138.4761723,48.85897452,26.76289724,60,28,80,116.8000031,Lesotho,High,Q4,wooded_grassland,Natural
124,ketane_4_11_2018,ketane,4,11,27.9653,-29.7174,52.29330825,117.6599436,56.94872308,21.06239621,80,20,70,115.3000031,Lesotho,High,Q4,wooded_grassland,Natural
125,ketane_4_12_2018,ketane,4,12,27.9697,-29.7224,50.69324934,114.059811,48.85897452,9.38712335,64,25,70,119,Lesotho,High,Q4,grassland,Natural
126,ketane_4_15_2018,ketane,4,15,27.965,-29.7176,51.46263382,115.7909261,57.41937369,21.21698051,80,20,80,117.199997,Lesotho,High,Q4,wooded_grassland,Natural
127,ketane_4_1_2018,ketane,4,1,27.9655,-29.7246,49.91995273,112.3198936,58.3606749,22.03004269,67,23,80,114.5,Lesotho,High,Q4,grassland,Natural
128,ketane_5_10_2018,ketane,5,10,27.9899,-29.778,63.51892661,142.9175849,44.30929505,24.27900083,58,29,80,108,Lesotho,High,Q4,grassland,Natural
129,ketane_5_11_2018,ketane,5,11,27.9941,-29.7804,42.51034039,95.64826588,44.30929505,24.24252821,57,28,80,99.90000153,Lesotho,High,Q3,grassland,Natural
130,ketane_5_13_2018,ketane,5,13,27.9962,-29.7802,55.18599073,124.1684792,39.53829573,21.77268872,57,28,80,100.5,Lesotho,High,Q4,grassland,Natural
131,ketane_5_14_2018,ketane,5,14,27.9899,-29.7802,44.24460623,99.55036403,44.30929505,33.24007301,60,27,60,105.0999985,Lesotho,High,Q3,grassland,Natural
132,ketane_5_1_2018,ketane,5,1,27.9877,-29.7786,61.60136437,138.6030698,42.93536343,32.38834386,58,32,70,106.199997,Lesotho,High,Q4,grassland,Natural
133,ketane_5_3_2018,ketane,5,3,27.9895,-29.7796,42.52444011,95.67999026,48.47726378,26.33961354,60,27,70,102.0999985,Lesotho,High,Q3,grassland,Natural
134,ketane_5_6_2018,ketane,5,6,27.9919,-29.7798,44.65292915,100.4690906,47.33213156,35.56389289,60,27,70,101.3000031,Lesotho,High,Q3,grassland,Natural
135,ketane_5_7_2018,ketane,5,7,27.9962,-29.7761,49.38268764,111.1110472,47.33213156,36.03398245,53,31,60,102.3000031,Lesotho,High,Q3,grassland,Natural
136,ketane_5_8_2018,ketane,5,8,27.9965,-29.7795,46.96585264,105.6731684,39.84718867,21.90796495,55,30,80,103.8000031,Lesotho,High,Q3,grassland,Natural
137,ketane_5_9_2018,ketane,5,9,27.9934,-29.7808,56.46906546,127.0553973,54.26675528,40.33485223,60,27,80,103.199997,Lesotho,High,Q4,grassland,Natural
138,ketane_6_11_2018,ketane,6,11,27.9935,-29.7632,38.20574801,85.96293302,35.25451857,19.87214097,57,30,80,117,Lesotho,High,Q3,grassland,Natural
139,ketane_6_14_2018,ketane,6,14,27.9893,-29.7619,45.18106595,101.6573984,42.93536343,23.7356234,54,27,60,105.699997,Lesotho,High,Q3,grassland,Natural
140,ketane_6_1_2018,ketane,6,1,27.9901,-29.7653,36.94082776,83.11686247,43.27884633,23.81104565,58,30,70,115.8000031,Lesotho,High,Q3,grassland,Natural
141,ketane_6_3_2018,ketane,6,3,27.9943,-29.7631,46.29471738,104.1631141,47.7138423,26.37888729,57,30,70,117.199997,Lesotho,High,Q3,grassland,Natural
142,ketane_6_4_2018,ketane,6,4,27.9865,-29.7653,43.06069448,96.88656259,48.47726378,26.33961354,57,30,70,117.3000031,Lesotho,High,Q3,grassland,Natural
143,ketane_6_9_2018,ketane,6,9,27.9872,-29.7627,45.86047157,103.186061,52.9948782,29.02802563,54,29,60,110.699997,Lesotho,High,Q3,wooded_grassland,Natural
144,ketane_7_11_2018,ketane,7,11,27.9862,-29.7447,43.79878197,98.54725943,48.09555304,36.07597401,56,29,70,112,Lesotho,High,Q3,wooded_grassland,Natural
145,ketane_7_12_2018,ketane,7,12,27.9898,-29.7436,52.25809913,117.580723,48.09555304,26.42608102,54,29,60,111.9000015,Lesotho,High,Q4,wooded_grassland,Natural
146,ketane_7_13_2018,ketane,7,13,27.9913,-29.7422,50.73497866,114.153702,45.80528861,25.46327533,56,33,50,115.699997,Lesotho,High,Q4,wooded_grassland,Natural
147,ketane_7_15_2018,ketane,7,15,27.9907,-29.7466,48.10603102,108.2385698,49.62239599,27.16890952,53,26,50,110.3000031,Lesotho,High,Q3,wooded_grassland,Natural
148,ketane_7_1_2018,ketane,7,1,27.9928,-29.7398,50.0008033,112.5018074,51.72300112,28.53369304,58,29,50,117.199997,Lesotho,High,Q4,wooded_grassland,Natural
149,ketane_7_4_2018,ketane,7,4,27.992,-29.7468,46.54248527,104.7205919,47.7138423,26.6508968,52,27,60,115.3000031,Lesotho,High,Q3,wooded_grassland,Natural
150,ketane_7_5_2018,ketane,7,5,27.9892,-29.7447,44.56555837,100.2725063,48.09555304,26.42608102,56,29,50,113.4000015,Lesotho,High,Q3,wooded_grassland,Natural
151,ketane_7_7_2018,ketane,7,7,27.9915,-29.7467,47.11626352,106.0115929,49.62239599,27.38524411,53,27,60,110.199997,Lesotho,High,Q3,wooded_grassland,Natural
152,ketane_7_8_2018,ketane,7,8,27.9919,-29.7417,55.05396408,123.8714192,41.21794889,23.10317316,54,33,70,118.5,Lesotho,High,Q4,wooded_grassland,Natural
153,ketane_7_9_2018,ketane,7,9,27.9947,-29.7387,41.44759516,93.25708911,52.14696015,28.75600317,56,28,70,113.9000015,Lesotho,High,Q3,wooded_grassland,Natural
154,ketane_8_15_2018,ketane,8,15,27.9938,-29.7224,42.87030443,96.45818496,46.56871008,26.05427459,60,29,50,113.4000015,Lesotho,High,Q3,wooded_grassland,Natural
155,ketane_8_2_2018,ketane,8,2,27.9901,-29.7235,58.14584646,130.8281545,51.72300112,28.84382122,64,25,70,118.199997,Lesotho,High,Q4,wooded_grassland,Natural
156,ketane_8_5_2018,ketane,8,5,27.9933,-29.7249,51.24616293,115.3038666,50.02716502,28.33886218,60,29,50,112,Lesotho,High,Q4,wooded_grassland,Other
157,ketane_8_6_2018,ketane,8,6,27.9942,-29.7236,54.34847764,122.2840747,47.7138423,26.46436265,60,29,50,114.3000031,Lesotho,High,Q4,wooded_grassland,Natural
