,geography-state_name,plot_details-polygon
50,southwest.,2.6838833 44.8642117 0.0 0.0; 2.683831783747928 44.8642198741436 0.0 0.0; 2.6838565669671954 44.864292964339256 0.0 0.0; 2.6839346006137776 44.86427787691355 0.0 0.0; 2.6838833 44.8642117 0.0 0.0
51,galmudug.,5.2954603 45.8180613 312.720947265625 3.79; 5.2954482 45.8183628 313.12016232110125 91.453; 5.2976352 45.8181621 313.6312469980781 97.478; 5.298117 45.8176683 314.41565419587636 171.968; 5.2954603 45.8180613 312.720947265625 3.79
52,galmudug.,5.2955384 45.8180659 309.35150146484375 4.924; 5.2955387 45.8182138 250.90594482421875 15.613; 5.298169 45.8180403 308.1160888671875 7.354; 5.2981338 45.817592 312.88177490234375 4208.155; 5.2955384 45.8180659 309.35150146484375 4.924
53,southwest.,2.181798912401474 45.15634328126907 0.0 0.0; 2.1817808206154803 45.155520513653755 0.0 0.0; 2.1812846365480514 45.15552520751953 0.0 0.0; 2.1811613443303632 45.15622157603502 0.0 0.0; 2.181798912401474 45.15634328126907 0.0 0.0
54,galmudug.,5.308337 45.8855996 263.6000061035156 41.025; 5.3083353 45.8855896 263.6000061035156 262.779; 5.3083348 45.8855891 263.6000061035156 64.428; 5.3083286 45.8855982 263.6000061035156 9.92; 5.308337 45.8855996 263.6000061035156 41.025
55,galmudug.,5.0790517 45.9597134 235.81044885779878 3.685; 5.0814606 45.9600402 239.06940657030162 3.79; 5.0814586 45.9597967 239.292613653658 202.316; 5.0786879 45.9583859 237.4433925724233 3.986; 5.0790517 45.9597134 235.81044885779878 3.685
56,southwest.,2.1841533 45.1496425 0.0 0.0; 2.184036596623977 45.15439432114363 0.0 0.0; 2.179558209547359 45.15328019857406 0.0 0.0; 2.1799009488513703 45.14944463968277 0.0 0.0; 2.1841533 45.1496425 0.0 0.0
57,southwest.,2.2208210451452297 45.148800574243076 0.0 0.0; 2.220713837364983 45.142704583704464 0.0 0.0; 2.216706605977781 45.14250073581933 0.0 0.0; 2.2160961898769744 45.14720432460308 0.0 0.0; 2.2208210451452297 45.148800574243076 0.0 0.0
58,galmudug.,5.081489 45.9600912 237.53167724609375 3.519; 5.0814256 45.9581836 240.5045166015625 4.423; 5.0811735 45.9581834 234.43341064453125 318.587; 5.0786534 45.9588085 233.4659423828125 181.008; 5.081489 45.9600912 237.53167724609375 3.519
59,galmudug.,5.0790001 45.9596983 231.3419189453125 3.79; 5.0815032 45.9600711 229.4388427734375 4.683; 5.0814627 45.9581657 236.07550048828125 3.79; 5.0786637 45.9584188 235.123291015625 4.942; 5.0790001 45.9596983 231.3419189453125 3.79
60,galmudug.,5.0789805 45.9596918 229.1 1.3; 5.081395 45.9601549 227.1 1.7; 5.0814249 45.9581846 230.29999999999998 2.285; 5.0786536 45.9584156 232.79999999999998 1.533; 5.0789805 45.9596918 229.1 1.3
61,puntland,7.0074261 47.8082031 257.0 3.207; 7.0087121 47.8076322 262.0 3.471; 7.0075486 47.8056746 266.0 3.706; 7.0074261 47.8082031 257.0 3.207
62,jubaland.,3.9889947 41.9591883 181.9 1.416;3.9882106 41.9587246 177.5 1.75;3.9885283 41.9577649 173.7 1.683;3.9895117 41.9578967 174.9 12.3;3.9890465 41.959163 174.4 2.2;3.9889947 41.9591883 181.9 1.416
63,jubaland.,3.9775719 41.9608038 184.0 6.5;3.9776211 41.9611018 196.0 8.78;3.977217 41.9612196 187.0 6.502;3.9771021 41.9612441 191.0 5.031;3.9770634 41.9608864 186.0 18.752;3.977509 41.9607954 188.0 6.194;3.9775719 41.9608038 184.0 6.5
64,puntland,6.9996269 47.3692764 307.0 3.0;6.9990168 47.3678921 307.0 3.666;6.9979054 47.3682531 308.0 3.0;6.9979017 47.3682437 308.0 2.0;6.9979017 47.3682436 308.0 2.0;6.9996269 47.3692764 307.0 3.0
65,puntland,6.9979742 47.3751837 310.0 6.75; 6.9987352 47.3749507 303.0 3.341; 6.9986176 47.374653 305.0 3.495; 6.9979742 47.3751837 310.0 6.75
66,puntland,6.9377364 47.3220737 290.0 2.5; 6.9379262 47.3200637 289.0 3.877; 6.9425765 47.3195255 291.0 3.383; 6.9425708 47.3195226 291.0 2.25; 6.9429247 47.3209133 291.0 3.896; 6.9377364 47.3220737 290.0 2.5
67,jubaland.,3.9521014 41.9263937 185.0 9.0; 3.9526655 41.9264721 183.0 3.542; 3.9529149 41.9261809 184.0 7.291; 3.9524291 41.9260119 180.0 5.437; 3.9521014 41.9263937 185.0 9.0
68,jubaland.,3.940094 41.9226088 181.6 1.7;3.9400892 41.922948 186.0 3.075;3.9386692 41.9232886 186.8 5.104;3.9385092 41.9228767 186.8 8.292;3.9400676 41.9225361 186.5 2.8;3.9401162 41.9226143 186.20000000000002 1.4;3.940094 41.9226088 181.6 1.7
69,southwest,4.1281521 43.9034523 458.59999999999997 8.0; 4.1284004 43.903684 464.5 3.0; 4.1284664 43.9037875 464.5 3.0; 4.1288222 43.9037021 462.3 3.0; 4.1291707 43.903532 462.7 3.0; 4.1294076 43.9033673 461.2 3.0; 4.1296026 43.9032716 463.5 3.0; 4.1295813 43.9028099 461.8 3.0; 4.1298828 43.9027824 462.4 3.0; 4.1298106 43.9024623 461.7 3.538; 4.1296716 43.902448 462.8 3.186; 4.1294886 43.9023779 462.0 3.362; 4.1291134 43.9023673 463.9 3.454; 4.1290098 43.9026935 468.2 3.331; 4.1290637 43.9028919 464.8 3.146; 4.1287593 43.903021 463.5 3.449; 4.1287831 43.9031171 464.0 3.0; 4.1281521 43.9034523 458.59999999999997 8.0
70,southwest,4.1340896 43.8969761 469.09999999999997 1.666; 4.1342812 43.8968655 468.09999999999997 3.0; 4.1343819 43.8968899 467.7 2.514; 4.1345188 43.8968706 469.3 3.0; 4.134745 43.8976933 467.8 3.0; 4.1341608 43.8977061 466.59999999999997 3.0; 4.134216 43.8973334 466.7 3.024; 4.1341843 43.8972145 466.3 3.0; 4.1340749 43.8969889 467.0 3.212; 4.1340831 43.8969833 466.2 3.0; 4.1340896 43.8969761 469.09999999999997 1.666
71,southwest,3.817549 43.2404917 345.078857421875 3.79;3.8175443 43.2404925 345.57720947265625 4.002;3.8175567 43.2404711 347.4266357421875 10.162;3.8175765 43.2404814 346.014404296875 5.95;3.817549 43.2404917 345.078857421875 3.79
72,southwest,4.2776992 42.9088313 267.0 2.6; 4.2777442 42.9081516 269.5 1.371; 4.2771129 42.9080836 267.6 1.4; 4.2773018 42.9088917 270.0 1.4; 4.2776992 42.9088313 267.0 2.6
73,southwest,4.5543265 43.0408007 315.0 9.75; 4.5541182 43.0410511 330.0 3.721; 4.5553718 43.0420991 335.0 6.5; 4.5564881 43.0429455 336.0 6.5; 4.5566663 43.0429117 334.0 2.0; 4.5581915 43.0414944 336.0 3.482; 4.5579581 43.0399127 322.0 13.5; 4.5577847 43.0396011 334.0 4.609; 4.5558369 43.0376242 327.0 3.909; 4.5539581 43.0368002 327.0 3.914; 4.5542526 43.0387525 342.0 16.5; 4.5543219 43.0391122 323.0 3.38; 4.5543265 43.0408007 315.0 9.75
74,southwest,4.8044323 43.6837381 453.0 3.943;4.8048183 43.6834283 461.3 74.769;4.8054791 43.6846296 458.3 2.621;4.8049017 43.68468 450.2 37.141;4.8044323 43.6837381 453.0 3.943
75,,-1.2254314 36.8286509 0.0 0.0;-1.224205506320145 36.82926412671805 0.0 0.0;-1.224226959094387 36.828171126544476 0.0 0.0;-1.2254314 36.8286509 0.0 0.0
76,,-1.2357047 36.818713 1686.4000244140625 3.598;-1.2357968 36.8191073 1686.4000244140625 3.0;-1.2354086 36.8192078 1682.7537841796875 3.0;-1.2353064 36.8189983 1684.3568115234375 3.0;-1.2357047 36.818713 1686.4000244140625 3.598
77,,-1.2531917 36.8109275 0.0 0.0;-1.2543595560893464 36.80965147912502 0.0 0.0;-1.2547353105348114 36.81090205907822 0.0 0.0;-1.2543267069024298 36.81210368871689 0.0 0.0;-1.2531917 36.8109275 0.0 0.0
78,,-1.2254648 36.8286298 0.0 0.0;-1.2254663 36.828629 0.0 0.0;-1.2254648 36.8286298 0.0 0.0;-1.224098912845537 36.829030103981495 0.0 0.0;-1.2254663 36.828629 0.0 0.0;-1.225462 36.8286299 0.0 0.0;-1.2238344403383636 36.82765681296587 0.0 0.0;-1.2255861931128498 36.82744961231947 0.0 0.0;-1.2254648 36.8286298 0.0 0.0
