,geography-state_name,plot_details-polygon
20,southwest..,3.1963233 43.5414233 459.2 5.3; 3.1964503 43.5416194 460.1 3.338; 3.1966304 43.5418511 461.4 3.538; 3.1967687 43.5421002 461.5 3.565; 3.1970427 43.5423732 459.2 3.523; 3.1972458 43.5425623 460.9 3.361; 3.1974669 43.5427658 459.6 3.605; 3.1977029 43.5429486 462.3 3.667; 3.1979353 43.5430789 462.9 3.382; 3.1981752 43.5432263 463.9 3.549; 3.1984271 43.5433227 461.9 3.0; 3.1987034 43.5433015 460.8 3.0; 3.1988987 43.5432591 461.2 3.239; 3.1988849 43.5430838 461.4 3.0; 3.1986038 43.5429737 463.4 3.62; 3.198412 43.542736 461.3 3.779; 3.1981345 43.542683 461.2 3.514; 3.1978632 43.5426173 462.8 3.0; 3.1976574 43.542444 463.1 3.504; 3.1974289 43.5422748 462.1 3.381; 3.1973023 43.5420282 463.7 3.525; 3.1971979 43.5419137 462.2 3.0; 3.1970142 43.5417013 463.0 3.804; 3.1968634 43.541485 462.2 3.598; 3.1967457 43.5412751 461.2 3.577; 3.1965341 43.5413132 460.3 3.0; 3.1963167 43.5413322 459.7 3.52; 3.1963807 43.5415403 461.4 3.0; 3.1963233 43.5414233 459.2 5.3
21,southwest..,3.1818117 43.4386366 449.6 2.733; 3.1816925 43.4387955 445.7 3.0; 3.1816681 43.4390141 447.5 3.0; 3.1817287 43.4392442 448.3 3.0; 3.1817295 43.4394976 447.8 3.0; 3.1818569 43.4396915 447.2 3.0; 3.1818496 43.4399467 447.2 3.0; 3.1819386 43.4401707 447.8 3.079; 3.1821744 43.4402131 448.8 3.133; 3.1824188 43.4402085 448.0 3.0; 3.1824565 43.4402148 450.0 3.0; 3.1824567 43.440215 450.0 1.2; 3.18246 43.4402097 450.5 1.233; 3.1825658 43.4401537 447.7 3.0; 3.182582 43.4399429 447.6 3.0; 3.1826061 43.4397204 448.40000000000003 3.0; 3.1826662 43.4394979 448.3 3.0; 3.1827439 43.4392905 448.6 3.0; 3.1827055 43.4391181 448.8 3.0; 3.1826273 43.4388681 447.0 3.0; 3.1825492 43.4386232 448.6 3.0; 3.1825044 43.4384919 449.0 3.0; 3.1823773 43.4383201 447.40000000000003 3.0; 3.1823871 43.4380776 448.6 3.0; 3.182192 43.4379408 447.90000000000003 3.131; 3.1820485 43.437936 447.3 3.639; 3.1819092 43.4381645 448.0 3.446; 3.1817851 43.4383725 448.40000000000003 3.0; 3.1816793 43.4386099 448.3 3.129; 3.1818117 43.4386366 449.6 2.733
22,southwest..,3.2037556 43.4777385 450.9 3.133; 3.2035388 43.4776426 452.4 3.589; 3.2032761 43.4775208 453.2 3.0; 3.2030357 43.4773961 451.09999999999997 3.61; 3.2028057 43.4772539 452.2 3.587; 3.2026815 43.4775041 453.2 3.702; 3.2025716 43.4777385 453.09999999999997 3.454; 3.2025634 43.4779617 453.09999999999997 3.0; 3.2025752 43.4780982 453.9 3.0; 3.2027598 43.4780826 453.8 3.0; 3.2029963 43.4781353 454.9 3.211; 3.203253 43.4782344 454.2 3.427; 3.203487 43.478364 454.3 3.381; 3.203735 43.4784945 454.0 3.154; 3.203973 43.4785961 454.7 3.0; 3.2041673 43.4787105 453.7 3.0; 3.2043373 43.478696 448.8 3.0; 3.2042667 43.4785718 450.7 3.0; 3.2042653 43.4783837 452.09999999999997 3.0; 3.2042604 43.4781592 450.8 3.0; 3.2041284 43.4779217 452.8 3.194; 3.2038768 43.4778198 455.09999999999997 3.577; 3.2037556 43.4777385 450.9 3.133
23,southwest..,3.2051914 43.4781403 454.09999999999997 3.0; 3.2051616 43.4782975 454.8 3.0; 3.2051761 43.4785398 454.5 3.582; 3.2051942 43.4787393 455.3 3.0; 3.2053875 43.478881 455.0 3.0; 3.2056256 43.478862 453.9 3.0; 3.2058596 43.4789053 451.5 3.22; 3.206118 43.478921 451.9 3.765; 3.2063263 43.478849 452.5 3.0; 3.2062094 43.478605 452.3 3.508; 3.2060887 43.4783651 452.9 3.541; 3.205997 43.4781142 453.8 3.637; 3.205765 43.4780879 454.4 3.0; 3.205521 43.478126 452.8 3.0; 3.205284 43.4780888 453.7 3.0; 3.2051914 43.4781403 454.09999999999997 3.0
24,southwest..,3.187854 43.4568495 447.59999999999997 1.5; 3.1878579 43.4568516 448.59999999999997 1.316; 3.1878568 43.4568546 448.59999999999997 1.216; 3.1878210740015485 43.45690369606018 0.0 0.0; 3.1878589015783585 43.45692280679941 0.0 0.0; 3.1877738732179197 43.4568751975894 0.0 0.0; 3.1878210740015485 43.45690369606018 0.0 0.0; 3.187810361767164 43.456857427954674 0.0 0.0; 3.1877738732179197 43.4568751975894 0.0 0.0; 3.1877290157336136 43.456854075193405 0.0 0.0; 3.1877738732179197 43.4568751975894 0.0 0.0; 3.187854 43.4568495 447.59999999999997 1.5
25,southwest..,3.1870065 43.4571934 372.8 2.812; 3.1870086 43.4571933 374.0 1.883; 3.1870217 43.4571982 375.3 1.716; 3.1870381 43.4571958 376.8 1.65; 3.187078916748798 43.457266464829445 0.0 0.0; 3.1870381 43.4571958 0.0 0.0; 3.1870065 43.4571934 0.0 0.0; 3.1869520436240566 43.45722354948521 0.0 0.0; 3.1868867658888593 43.45722187310457 0.0 0.0; 3.1868797359786667 43.45716957002878 0.0 0.0; 3.1869520436240566 43.45722354948521 0.0 0.0; 3.1868867658888593 43.45722187310457 0.0 0.0; 3.1870065 43.4571934 372.8 2.812
26,southwest..,3.1889755 43.4848648 449.5 1.733; 3.189066 43.4846704 452.40000000000003 3.436; 3.1891855 43.4844066 453.0 3.581; 3.1893231 43.4841672 451.6 3.541; 3.1893189 43.4840198 455.1 3.011; 3.1890652 43.4839033 452.20000000000005 3.549; 3.1888117 43.4838091 452.6 3.554; 3.1885851 43.4836815 451.90000000000003 3.029; 3.1883471 43.4835523 450.3 3.0; 3.188108 43.4834123 452.0 3.496; 3.1878942 43.4832809 452.3 3.469; 3.1877659 43.4834729 450.5 3.6; 3.1876571 43.4836647 450.3 3.164; 3.1876624 43.4838743 449.90000000000003 3.0; 3.1878128 43.4841186 450.6 3.654; 3.1879545 43.4843857 450.90000000000003 3.463; 3.188072 43.4846417 450.90000000000003 3.556; 3.1882613 43.484832 453.8 3.0; 3.1885509 43.4848467 452.6 3.424; 3.1888188 43.4848774 451.0 3.0; 3.1889755 43.4848648 449.5 1.733
27,southwest..,3.1267365 43.6642623 0.0 0.0; 3.1267367 43.6642435 0.0 0.0; 3.1267365 43.6642623 0.0 0.0; 3.1267367 43.6642435 0.0 0.0; 3.1267365 43.6642623 0.0 0.0
28,southwest..,3.2010609 43.5447788 464.0235595703125 4.3; 3.2011064 43.5445666 464.4776899202732 6.866; 3.201041 43.5442427 463.6027151685762 8.224; 3.2013302 43.5439826 464.0141166914351 8.133; 3.2015867 43.5439901 462.38774074779974 7.741; 3.2018271 43.544037 463.7767792038079 6.574; 3.2031787 43.5439361 463.77212843559676 6.141; 3.2032493 43.5441425 464.6890204946112 7.667; 3.2032228 43.5443819 465.1696105518197 7.098; 3.2030296 43.5443418 465.3765706318112 6.501; 3.202737 43.5444545 464.91630745507405 5.476; 3.2027008 43.5444603 464.9273261931014 6.948; 3.2019974 43.5445556 465.87684197767953 6.069; 3.2016807 43.5446525 465.3151947666199 4.338; 3.201493 43.5448264 466.36848381232846 5.296; 3.2010609 43.5447788 464.0235595703125 4.3
29,southwest..,3.1871643 43.4405875 414.3421630859375 5.681; 3.1872013 43.4404681 445.65400806333815 7.188; 3.1881127 43.4383405 446.9660983349708 7.404; 3.1880873 43.4382784 448.52890422261373 6.006; 3.1877752 43.4382582 449.9475520450354 4.088; 3.1874943 43.4382147 449.80279453389846 4.876; 3.1870471 43.4382569 449.8598946358748 5.398; 3.186879 43.4383773 450.2871157271069 6.524; 3.1865936 43.4384195 449.44025802797404 4.937; 3.1863457 43.4384511 449.4759234103539 5.01; 3.1861856 43.4382452 448.7911728102627 4.528; 3.1856958 43.4381797 448.00671881675277 5.029; 3.1854869 43.4381559 448.4669830704553 7.08; 3.185176 43.4383086 448.250033940393 4.561; 3.1851356 43.4385807 448.3178190614899 4.889; 3.1850624 43.439242 448.27907704150226 8.129; 3.1850646 43.4395194 448.5026062828369 5.199; 3.185047 43.4399347 449.07403143453627 6.394; 3.1851788 43.4400753 449.1819955230931 5.386; 3.1871643 43.4405875 414.3421630859375 5.681
