Tree Scientific Name,Tree Local Name,Total Trees Planted,Total Trees Survived,Tree Usage,Other Tree Usages,has_fruits,country
Grevillea robusta,grevilia,30,20,SHADE FIREWOOD CONSTRUCTION SOIL_FERTILITY ,,False,Kenya
,kitae,20,4,FRUITS FIREWOOD ,,True,Kenya
Mangifera indica,kiembe,100,50,FRUITS FIREWOOD ,,True,Kenya
,kitomoko,20,15,FRUITS ,,True,Kenya
melia volkensii,mukau,200,200,FIREWOOD FODDER CONSTRUCTION ,,False,Kenya
,Avocado Tree,5020,5000,FRUITS ,,True,Kenya
,Kikwata,3,3,SHADE FRUITS SOIL_FERTILITY ,,True,Kenya
,Mwarubaini,370,350,SHADE FIREWOOD SOIL_FERTILITY MEDICINAL ,,False,Kenya
,Kitomoko,2,1,FIREWOOD SHADE FRUITS ,,True,Kenya
,Kisungwa,15,10,FIREWOOD SHADE FRUITS ,,True,Kenya
,pixel,1,1,SHADE FRUITS SOIL_FERTILITY ,,True,Kenya
,Mtomoko,11,8,FRUITS ,,True,Kenya
,mkorosho,150,145,NUTS ,,False,Kenya
melia,kirumbutu,15,11,CONSTRUCTION OTHER ,furniture,False,Kenya
,Mukau,3000,2300,SOIL_FERTILITY FODDER SHADE CONSTRUCTION FIREWOOD ,,False,Kenya
Mangifera indica,Maembe,200,150,SOIL_FERTILITY SHADE CONSTRUCTION FRUITS FIREWOOD ,,True,Kenya
,koma manga,12,12,FRUITS ,,True,Kenya
papaya,Ivavai,350,300,FRUITS SOIL_FERTILITY SHADE ,,True,Kenya
,oranges,150,80,FRUITS SHADE FIREWOOD ,,True,Kenya
Citrus paradisi,pixi,50,43,FRUITS SHADE ,,True,Kenya
,pine,200,0,FIREWOOD ,,False,Kenya
,mnazi,150,150,NUTS CONSTRUCTION ,,False,Kenya
,croton,75,50,FIREWOOD SHADE ,,False,Kenya
,croton,100,76,FIREWOOD ,fence,False,Kenya
,Christmas tree,15,10,SHADE OTHER ,aesthetic,False,Kenya
accacia,yellow bark,100,42,SHADE FIREWOOD ,fence poles,False,Kenya
,Pawpaw,5,4,MEDICINAL FRUITS ,,True,Kenya
,Avocado,10,9,FRUITS ,,True,Kenya
,mjohoro,80,54,SHADE ,,False,Kenya
,mjohoro,80,54,SHADE ,,False,Kenya
,mkwaju,1,1,SHADE FRUITS ,,True,Kenya
,kipiripiri,10,6,SHADE ,,False,Kenya
,mkriamas,10,10,SHADE ,,False,Kenya
Mangifera indica,kiembe,500,300,SOIL_FERTILITY FIREWOOD SHADE FRUITS ,,True,Kenya
Mangifera indica,kiembe,100,50,FRUITS FIREWOOD ,,True,Kenya
,kipera,5,2,FRUITS ,,True,Kenya
,pixie,100,50,FRUITS ,,True,Kenya
mango tree,mango tree,3,3,FRUITS SHADE FODDER ,,True,Kenya
mango tree,mango tree,3,3,FRUITS SHADE FODDER ,,True,Kenya
Eucalyptus globulus,eucalyptus,20,16,CONSTRUCTION SOIL_FERTILITY SHADE FIREWOOD ,,False,Kenya
,kivavai,20,15,FRUITS ,,True,Kenya
,mpenda bure,20,15,CONSTRUCTION ,,False,Kenya
,mtomoko,9,9,FRUITS ,,True,Kenya
,mpera,3,3,FODDER FRUITS ,,True,Kenya
,mutomoko,3,3,SOIL_FERTILITY FRUITS ,,True,Kenya
,lemon,13,11,SOIL_FERTILITY FRUITS ,create microclimate,True,Kenya
,grev4llea,70,58,CONSTRUCTION FIREWOOD ,,False,Kenya
,gum tree,50,40,FIREWOOD SHADE CONSTRUCTION ,,False,Kenya
,Kirumbutu,5,5,CONSTRUCTION ,,False,Kenya
,mwarubaini,20,17,SHADE MEDICINAL ,,False,Kenya
,Mwarubaini,20,15,MEDICINAL SHADE ,,False,Kenya
,Mlingoswe,1,1,SHADE FRUITS ,,True,Kenya
papaya,papai,30,25,FRUITS ,,True,Kenya
,pixie,100,50,FRUITS ,,True,Kenya
,Gluvelia,40,35,CONSTRUCTION SHADE ,,False,Kenya
Melia Volkensi,Mukau,2000,1700,CONSTRUCTION FIREWOOD SOIL_FERTILITY MEDICINAL FODDER SHADE ,,False,Kenya
Citrus paradisi,Pixi,320,300,FRUITS FIREWOOD SOIL_FERTILITY MEDICINAL SHADE ,,True,Kenya
,Dragon fruit,250,200,FRUITS SOIL_FERTILITY ,,True,Kenya
Mangifera indica,mango,200,100,FRUITS SHADE FIREWOOD ,,True,Kenya
Melia Volkensi,Mukau,5800,4500,FIREWOOD SHADE FODDER CONSTRUCTION SOIL_FERTILITY MEDICINAL ,,False,Kenya
,muthulu,900,800,MEDICINAL FIREWOOD NUTS ,,False,Kenya
,coconut tree,10,8,SHADE FRUITS ,,True,Kenya
,Ashok,10,10,OTHER ,,False,Kenya
,Gravelia,900,870,SHADE FIREWOOD ,,False,Kenya
,Mango Tree Planting,57,51,FRUITS ,,True,Kenya
,kipera,5,5,FRUITS ,,True,Kenya
,kitomoko,10,7,FIREWOOD SHADE FRUITS ,,True,Kenya
,kitomoko mwitu,1,1,FRUITS ,,True,Kenya
msumbesu,msumbesu,30,25,CONSTRUCTION SHADE FIREWOOD ,,False,Kenya
,Mukengeta,50,45,SHADE CONSTRUCTION FIREWOOD ,,False,Kenya
,moringa,150,80,MEDICINAL ,,False,Kenya
,mkwaju,45,25,FRUITS ,,True,Kenya
,mtomoko,9,9,FRUITS ,,True,Kenya
,Neem Tree,17,17,SHADE MEDICINAL ,,False,Kenya
melia volkensen,kirumbutu,10,10,FIREWOOD SHADE CONSTRUCTION ,,False,Kenya
,Mjohoro,29,21,SHADE ,,False,Kenya
,Neem Tree,17,17,SHADE MEDICINAL ,,False,Kenya
,Passion,100,64,SHADE FRUITS ,,True,Kenya
,mlezeni,280,250,SHADE ,,False,Kenya
,Christmas tree,25,13,SHADE ,,False,Kenya
,Boganvilia,25,14,SHADE ,,False,Kenya
,Christmas tree,25,13,SHADE ,,False,Kenya
,Mkungu,40,23,SHADE FRUITS ,,True,Kenya
,Neem Tree,100,100,SHADE ,,False,Kenya
,pawpaw,200,150,FRUITS ,,True,Kenya
,Mwarubaine,30,20,SHADE MEDICINAL ,,False,Kenya
,peaz,8,3,FRUITS ,,True,Kenya
,mjohoro,120,80,SHADE ,,False,Kenya
Citrus sinensis,Pixie Oranges,4000,4000,FODDER FRUITS FIREWOOD SOIL_FERTILITY MEDICINAL SHADE ,Source of vitamin C,True,Kenya
,Unknown,10,8,SHADE ,,False,Kenya
,Mwarubaine,30,20,SHADE MEDICINAL ,,False,Kenya
,Mlezeni,20,17,SHADE ,,False,Kenya
,Casorina Tree,34,32,SHADE ,,False,Kenya
,Muringa Tree,17,10,SHADE ,,False,Kenya
,Muavocado,82,76,FRUITS ,,True,Kenya
,Muembe,10,10,FRUITS ,,True,Kenya
,Mchrismas,57,55,SHADE ,,False,Kenya
,Casuarina,58,50,SHADE ,,False,Kenya
,Mwarubaini,100,94,SHADE ,,False,Kenya
,ashok,200,184,SHADE ,,False,Kenya
,orange tree,30,30,FRUITS SHADE ,,True,Kenya
,kikwasu,5,2,FRUITS FIREWOOD SHADE FODDER ,,True,Kenya
,kisugwa oranges,2000,1800,FIREWOOD SOIL_FERTILITY FRUITS ,,True,Kenya
,Giant grape fruit,100,80,FIREWOOD FRUITS ,,True,Kenya
,eucalyptus,400,250,SHADE CONSTRUCTION FIREWOOD ,,False,Kenya
Citrus paradisi,Kisungwa,4000,4000,FODDER FRUITS CONSTRUCTION FIREWOOD SOIL_FERTILITY SHADE ,,True,Kenya
Acacia mellifera,Muarobaini,100,90,FODDER CONSTRUCTION FIREWOOD SOIL_FERTILITY SHADE ,,False,Kenya
,mkrismas,100,95,SHADE ,,False,Kenya
,kipirupiru,100,57,SHADE ,,False,Kenya
,unknown,10,6,SHADE ,,False,Kenya
,Kikwata,41,37,SHADE ,,False,Kenya
,Mjohoro,123,115,SHADE ,,False,Kenya
,Matomoko,50,29,SHADE FRUITS ,,True,Kenya
,Mlezeni,20,17,SHADE ,,False,Kenya
melia volkensii,kirumbutu,15,7,CONSTRUCTION ,,False,Kenya
melia volkensii,kirumbutu,500,455,CONSTRUCTION ,,False,Kenya
melia volkensii,kirumbutu,500,455,CONSTRUCTION ,,False,Kenya
,mchungwa,50,24,FRUITS ,,True,Kenya
,mchungwa,50,24,FRUITS ,,True,Kenya
,Kikwata,32,28,SHADE ,,False,Kenya
,Kikwata,32,28,SHADE ,,False,Kenya
,mlezeni,50,45,FIREWOOD SHADE CONSTRUCTION ,,False,Kenya
,mwarubaini,50,45,SHADE MEDICINAL ,,False,Kenya
,lucina,30,30,SHADE ,,False,Kenya
,mango,10,8,SHADE FRUITS ,,True,Kenya
,kithulu,10,8,CONSTRUCTION FIREWOOD SHADE FODDER MEDICINAL ,,False,Kenya
,Mlezeni,300,258,SHADE ,,False,Kenya
,Mjohoro,100,100,SHADE ,,False,Kenya
,Lusina,250,200,SHADE ,,False,Kenya
,Mkode,18,11,SHADE ,,False,Kenya
,muembe,20,9,FRUITS SHADE ,,True,Kenya
,avocado,8,8,FRUITS ,,True,Kenya
,kirumbutu,500,455,CONSTRUCTION SHADE ,,False,Kenya
,Unknown,58,50,SHADE ,,False,Kenya
,Mnguzo,100,89,SHADE ,,False,Kenya
,unknown,30,30,SHADE ,,False,Kenya
,Pawpaw,47,43,FRUITS MEDICINAL ,,True,Kenya
Roystonea regia,Royal palm,50,20,SOIL_FERTILITY SHADE ,flower,False,Kenya
,kipirupiru,100,85,SHADE ,,False,Kenya
,mkrismas,30,27,SHADE ,,False,Kenya
,coconut tree,30,30,FRUITS SHADE ,beautification,True,Kenya
,mkrismas,40,28,SHADE ,,False,Kenya
,orange tree,10,5,FRUITS SHADE ,,True,Kenya
,Lusina,37,33,SHADE ,,False,Kenya
,Mlongoswe,31,27,SHADE ,,False,Kenya
,Lemon Tree,49,45,SHADE FRUITS ,,True,Kenya
,kipirupiru,20,20,SHADE ,,False,Kenya
,Zambarao,30,29,SHADE FRUITS SOIL_FERTILITY ,,True,Kenya
,Mjohoro,100,100,SHADE ,,False,Kenya
,cashew nuts,50,20,FIREWOOD FRUITS ,,True,Kenya
,Unknown,10,8,SHADE ,,False,Kenya
,cypress,10,4,CONSTRUCTION FIREWOOD SHADE ,,False,Kenya
Demonix regia,Delonix,52,49,SHADE ,,False,Kenya
,unknown,80,68,SHADE ,,False,Kenya
,mjohoro,50,39,SHADE ,,False,Kenya
,gruevellia,40,31,CONSTRUCTION FIREWOOD SHADE FODDER ,,False,Kenya
,kisungwa,50,20,FRUITS FIREWOOD ,,True,Kenya
Moringa oleifera,moringa,10,3,SHADE MEDICINAL FIREWOOD ,,False,Kenya
Melia Volkensi,Mukau,600,540,FODDER CONSTRUCTION FIREWOOD SOIL_FERTILITY SHADE ,,False,Kenya
Grevillea robusta,Mukima,1000,850,FODDER CONSTRUCTION FIREWOOD SOIL_FERTILITY SHADE ,,False,Kenya
,Thika palm,20,15,FIREWOOD SHADE ,Flowers,False,Kenya
,eucalyptus,20,15,CONSTRUCTION FIREWOOD SHADE ,,False,Kenya
,mjohoro,100,93,SHADE ,,False,Kenya
,Bananas,300,250,FRUITS FODDER ,,True,Kenya
,muselesele,20,15,SHADE FIREWOOD ,,False,Kenya
Senna siemea,Muchola,300,250,CONSTRUCTION FIREWOOD SOIL_FERTILITY SHADE ,,False,Kenya
,Kitai,100,70,FODDER FRUITS FIREWOOD SOIL_FERTILITY SHADE ,,True,Kenya
,unknown,30,30,SHADE ,,False,Kenya
,Ashok,40,27,SHADE ,beautification,False,Kenya
,pawpaw,20,5,SHADE FRUITS ,,True,Kenya
,Mumbaume,5,3,FIREWOOD SOIL_FERTILITY MEDICINAL SHADE ,,False,Kenya
,Bottle brush,200,180,FIREWOOD SOIL_FERTILITY SHADE ,,False,Kenya
khaya senegalensis,kaya,50,45,SHADE ,,False,Kenya
,Mchristamas,200,200,SHADE ,,False,Kenya
,Mlongoswe,31,27,SHADE ,,False,Kenya
,kirumbutu,500,455,CONSTRUCTION ,,False,Kenya
Ashok,,6,3,OTHER ,,False,Kenya
,Mkungu,40,23,SHADE FRUITS ,,True,Kenya
,Banana,18,12,FRUITS ,,True,Kenya
,unknown,15,10,SHADE ,,False,Kenya
melia volkensii,kirumbutu,500,455,CONSTRUCTION SHADE ,,False,Kenya
melia volkensii,kirumbutu,15,7,CONSTRUCTION ,,False,Kenya
,Miwa,100,94,SHADE FRUITS MEDICINAL ,,True,Kenya
,Mango Tree,37,34,SHADE FRUITS ,,True,Kenya
,Mango Tree,37,34,SHADE FRUITS ,,True,Kenya
,Lemon Tree,49,45,SHADE FRUITS ,,True,Kenya
,kitimu,12,12,MEDICINAL FIREWOOD CONSTRUCTION FRUITS ,,True,Kenya
Senna siemea,Muchola,500,350,CONSTRUCTION FIREWOOD FODDER SHADE SOIL_FERTILITY ,,False,Kenya
,Mwela ndathe,20,10,CONSTRUCTION FIREWOOD SHADE SOIL_FERTILITY MEDICINAL ,,False,Kenya
,melia volkensii,300,250,CONSTRUCTION FODDER SOIL_FERTILITY FIREWOOD ,,False,Kenya
Citrus paradisi,pixie orange,200,199,FRUITS SOIL_FERTILITY ,,True,Kenya
,muthulu,25,15,MEDICINAL SHADE ,,False,Kenya
,kitimu,20,14,FRUITS ,,True,Kenya
Unknown,Christmas tree,5,5,SHADE ,,False,Kenya
,Avocado,1,1,FRUITS ,,True,Kenya
,Croton,300,280,MEDICINAL SHADE SOIL_FERTILITY ,,False,Kenya
,Thika Palm,40,38,SHADE ,,False,Kenya
,Mlezeni,1200,1150,SHADE SOIL_FERTILITY ,,False,Kenya
,Mlezeni,1500,1500,SHADE SOIL_FERTILITY ,,False,Kenya
,Mukungu,10,5,FIREWOOD SHADE SOIL_FERTILITY ,,False,Kenya
Citrus sinensis,Isungwa,1000,950,FODDER FIREWOOD FRUITS SHADE SOIL_FERTILITY ,,True,Kenya
,mjohoro,50,39,SHADE ,,False,Kenya
,mjohoro,20,20,SHADE ,,False,Kenya
,Mukungu,10,5,FIREWOOD SHADE SOIL_FERTILITY ,,False,Kenya
Citrus sinensis,Isungwa,1000,950,FODDER FIREWOOD FRUITS SHADE SOIL_FERTILITY ,,True,Kenya
,Mwarobaini,50,38,FODDER FIREWOOD CONSTRUCTION SHADE SOIL_FERTILITY ,,False,Kenya
,Ashok,20,15,SHADE SOIL_FERTILITY ,flower,False,Kenya
Tamarindus indica,kikwasu,10,5,FODDER FIREWOOD CONSTRUCTION FRUITS SHADE SOIL_FERTILITY ,,True,Kenya
,Pixie,3000,2500,FODDER FIREWOOD FRUITS SHADE SOIL_FERTILITY ,,True,Kenya
,Royal palm,20,15,SHADE SOIL_FERTILITY ,,False,Kenya
Mangifera indica,Mango,500,420,FODDER FIREWOOD FRUITS SHADE SOIL_FERTILITY ,,True,Kenya
Tamarindus indica,kikwasu,10,5,FODDER FIREWOOD CONSTRUCTION FRUITS SHADE SOIL_FERTILITY ,,True,Kenya
Citrus limon,itimo,1000,800,FODDER FIREWOOD FRUITS SHADE SOIL_FERTILITY ,,True,Kenya
,Mwarobaini,50,38,FODDER FIREWOOD CONSTRUCTION SHADE SOIL_FERTILITY ,,False,Kenya
,kirumbutu,35,30,CONSTRUCTION FIREWOOD SHADE ,furniture,False,Kenya
,orange trees,160,125,FRUITS FIREWOOD ,,True,Kenya
,Zabibu,40,13,SHADE FRUITS ,,True,Kenya
,Mwarobaini,50,38,FODDER FIREWOOD CONSTRUCTION SHADE SOIL_FERTILITY ,,False,Kenya
Mangifera indica,Mango,500,420,FODDER FIREWOOD FRUITS SHADE SOIL_FERTILITY ,,True,Kenya
Acacia elatior,,20,11,SHADE ,,False,Kenya
,zambarau,60,49,CONSTRUCTION FRUITS FIREWOOD ,,True,Kenya
,kiembe,20,10,SHADE FIREWOOD FRUITS ,,True,Kenya
,kiembe,20,10,FIREWOOD FRUITS ,,True,Kenya
,kitundu,20,15,CONSTRUCTION SHADE FIREWOOD ,,False,Kenya
,cordia,30,15,CONSTRUCTION FIREWOOD FODDER ,,False,Kenya
,mtundu,40,40,CONSTRUCTION FIREWOOD SOIL_FERTILITY MEDICINAL ,,False,Kenya
,mshilingi,1200,1150,CONSTRUCTION SHADE ,,False,Kenya
,mukau,400,250,MEDICINAL FIREWOOD CONSTRUCTION ,,False,Kenya
,muthulu,500,200,FIREWOOD CONSTRUCTION SHADE NUTS ,,False,Kenya
Acacia tortillis,Mwaa,50,30,SOIL_FERTILITY SHADE FODDER FIREWOOD CONSTRUCTION ,,False,Kenya
,Kiundwa,20,18,SOIL_FERTILITY SHADE FODDER FIREWOOD CONSTRUCTION ,,False,Kenya
,Kithiia,20,15,SOIL_FERTILITY SHADE FODDER FIREWOOD ,,False,Kenya
Melia Volkensi,Mukau,2000,1800,MEDICINAL SOIL_FERTILITY SHADE FODDER FIREWOOD CONSTRUCTION ,,False,Kenya
,melia volkensii,300,250,CONSTRUCTION FODDER SOIL_FERTILITY FIREWOOD ,,False,Kenya
Croton megalocarpus,kithulu,100,70,SOIL_FERTILITY FODDER SHADE FIREWOOD MEDICINAL ,,False,Kenya
,Matithi,20,18,FODDER FIREWOOD CONSTRUCTION SHADE SOIL_FERTILITY ,,False,Kenya
melia volkensii,mukau,95,65,FIREWOOD FODDER CONSTRUCTION ,,False,Kenya
Mangifera indica,kiembe,75,65,SHADE FIREWOOD FRUITS ,,True,Kenya
,mwarubaini,30,5,MEDICINAL CONSTRUCTION FIREWOOD SHADE ,,False,Kenya
,mwarubaini,6,5,CONSTRUCTION MEDICINAL FIREWOOD SHADE ,,False,Kenya
,mukima,20,10,CONSTRUCTION SHADE ,,False,Kenya
,mukau,3,2,FODDER CONSTRUCTION FIREWOOD ,,False,Kenya
unknown,mkilifi,3,3,CONSTRUCTION SHADE ,,False,Kenya
Azadirachta indica,Mwarubaini,2100,2000,SHADE SOIL_FERTILITY ,,False,Kenya
,Yellow Elder,30,30,SHADE ,,False,Kenya
Tamarindus indica,kikwasu,10,5,FODDER FIREWOOD CONSTRUCTION FRUITS SHADE SOIL_FERTILITY ,,True,Kenya
Citrus limon,itimo,1000,800,FODDER FIREWOOD FRUITS SHADE SOIL_FERTILITY ,,True,Kenya
,Mwarobaini,50,38,FODDER FIREWOOD CONSTRUCTION SHADE SOIL_FERTILITY ,,False,Kenya
,pendant bure,15,12,SHADE ,,False,Kenya
,mchungwa,10,5,FRUITS SHADE ,,True,Kenya
citrus osbec,Blood orange,100,95,FODDER FIREWOOD FRUITS SHADE SOIL_FERTILITY ,,True,Kenya
Citrus limon,itimo,1000,800,FODDER FIREWOOD FRUITS SHADE SOIL_FERTILITY ,,True,Kenya
,Mwarobaini,50,38,FODDER FIREWOOD CONSTRUCTION SHADE SOIL_FERTILITY ,,False,Kenya
,Pixie,3000,2500,FODDER FIREWOOD FRUITS SHADE SOIL_FERTILITY ,,True,Kenya
,gerivellia,200,150,FIREWOOD CONSTRUCTION ,,False,Kenya
,Banana,50,37,SHADE FRUITS ,,True,Kenya
