Uploaded Date,Date Collected,Engagement Date,Data Collector,Project Name,Country Name,County Name,Subcounty Name,Engagement Venue,Engagement Type,Other Engagement Type,Policy Issue,Other Policy Issue,Total Participants,Key Participants,Male Participants,Female Participants,Youth Participants,Photo,Comment
2025-01-31 14:12:39,2025-01-31,2025-01-31,Ishaq Idris,UKPact_NbS,Kenya,Taita,Voi,Kalela Primary School,WORKSHOP_PERSON - TRAINING,,LOCAL_GOVERNANCE - BUILDING_RELATIONSHIPS,,180,Teachers And Primary Students,120,60,160,https://radrs.icraf.org/uploaded/media/JPEG_d62e16c6-82d5-4b80-a1aa-163b7b916266_7831559840918918929.jpg,It was a wonderful training and Capacity Building to primary teachers administration and students from Environment Club who will take care of the trees
2025-02-09 09:07:52,2025-02-09,2025-02-08,Ishaq Idris,UKPact_NbS,Kenya,Taita,Voi,Sofia Kaloleni Ward,WORKSHOP_PERSON - TRAINING - FIELD_TRIP,,SUB_NATIONAL_POLICY - BUILDING_RELATIONSHIPS - LOCAL_GOVERNANCE,,55,County Government Community And Youth Groups,35,20,55,https://radrs.icraf.org/uploaded/media/JPEG_b9b1172e-7bbe-4da1-a4d9-a9af09fbe740_6581265473177102329.jpg,Wonderful Exercise as youths are very ready and have passion matters Environment as we cleans our streets and we planted 50 trees
2025-07-25 11:54:30,2025-07-25,2025-07-24,Jackline Mwikali,UKPact_NbS,Kenya,Makueni,Kibwezi East,machinery town,WORKSHOP_PERSON,,LOCAL_GOVERNANCE,,30,Women,4,26,9,https://radrs.icraf.org/uploaded/media/JPEG_2a4d2d25-cd94-4e88-a5f9-23bdfd35da10_3695117853313142550.jpg,A group of women with a mixed gender
2025-07-25 13:57:47,2025-07-25,2025-07-25,Silas Muthuri,UKPact_NbS,Kenya,online,Online,"Zoom call
Virtual",WORKSHOP_ONLINE,,SCALING,refresher training,18,Enumerators,12,6,0,https://radrs.icraf.org/uploaded/media/JPEG_2ed90811-9329-4841-80a1-df0662258e64_8331542035182268751.jpg,a refresher training for the forthcoming regreening app data collection
2025-07-29 20:35:25,2025-07-29,2025-07-29,GEORGE MUSYOKI,UKPact_NbS,Kenya,Makueni,Kibwezi East,lukenya University Mtito Andei,WORKSHOP_PERSON,,BUILDING_RELATIONSHIPS - SCALING,,12,Esther Muli Shadrack Benard Kivyatu,10,2,3,https://radrs.icraf.org/uploaded/media/JPEG_c1d08dd0-75fd-4e59-9d10-c07f370cdc0c_161870891140451315.jpg,
2025-07-29 20:30:39,2025-07-29,2025-07-29,GEORGE MUSYOKI,UKPact_NbS,Kenya,Makueni,Kibwezi East,lukenya University Mtito Andei,WORKSHOP_PERSON,,BUILDING_RELATIONSHIPS - SCALING,,12,Esther Muli Shadrack Benard Kivyatu,10,2,3,https://radrs.icraf.org/uploaded/media/JPEG_c1d08dd0-75fd-4e59-9d10-c07f370cdc0c_161870891140451315.jpg,
2025-07-29 20:30:51,2025-07-29,2025-07-29,GEORGE MUSYOKI,UKPact_NbS,Kenya,Makueni,Kibwezi East,lukenya University Mtito Andei,WORKSHOP_PERSON,,BUILDING_RELATIONSHIPS - SCALING,,12,Esther Muli Shadrack Benard Kivyatu,10,2,3,https://radrs.icraf.org/uploaded/media/JPEG_c1d08dd0-75fd-4e59-9d10-c07f370cdc0c_161870891140451315.jpg,
2025-07-29 20:34:36,2025-07-29,2025-07-29,GEORGE MUSYOKI,UKPact_NbS,Kenya,Makueni,Kibwezi East,lukenya University Mtito Andei,WORKSHOP_PERSON,,BUILDING_RELATIONSHIPS - SCALING,,12,Esther Muli Shadrack Benard Kivyatu,10,2,3,https://radrs.icraf.org/uploaded/media/JPEG_c1d08dd0-75fd-4e59-9d10-c07f370cdc0c_161870891140451315.jpg,
2025-07-29 20:34:49,2025-07-29,2025-07-29,GEORGE MUSYOKI,UKPact_NbS,Kenya,Makueni,Kibwezi East,lukenya University Mtito Andei,WORKSHOP_PERSON,,BUILDING_RELATIONSHIPS - SCALING,,12,Esther Muli Shadrack Benard Kivyatu,10,2,3,https://radrs.icraf.org/uploaded/media/JPEG_c1d08dd0-75fd-4e59-9d10-c07f370cdc0c_161870891140451315.jpg,
2025-07-29 21:30:24,2025-07-29,2025-07-29,GEORGE MUSYOKI,UKPact_NbS,Kenya,Makueni,Kibwezi East,lukenya University Mtito Andei,WORKSHOP_PERSON,,BUILDING_RELATIONSHIPS - SCALING,,12,Esther Muli Shadrack Benard Kivyatu,10,2,3,https://radrs.icraf.org/uploaded/media/JPEG_c1d08dd0-75fd-4e59-9d10-c07f370cdc0c_161870891140451315.jpg,
