,Scientific name,Local name,country_x,verbatim_name,nameSource_x,country_y,scientificName,rank,status,kingdom,phylum,order,family,genus,species,confidence,canonicalName,species_matched_from_accepted,country_matched_from,source,verbatim_name_from_gbif,match_score,match_status,nameSource_y,original_name_gbif_local,species_matched_from_gbif_local,_merge,cleaned_scientific_name
18,Grevillea robusta,Gravelia ,Kenya,gravelia,local_name (replaced NA),Kenya,Grevillea robusta A.Cunn. ex R.Br.,SPECIES,ACCEPTED,Plantae,Tracheophyta,Proteales,Proteaceae,Grevillea,Grevillea robusta,99,Grevillea robusta,gravelia,,J,grevillea robusta,0,Accepted,scientific_name,mukirismas,Mukima,both,Grevillea robusta
19,Persea americana,Avocado ,Kenya,avocado,local_name (replaced NA),Kenya,Persea americana Mill.,SPECIES,ACCEPTED,Plantae,Tracheophyta,Laurales,Lauraceae,Persea,Persea americana,99,Persea americana,Avokado,Kenya,R,persea americana,0.066666667,Accepted,scientific_name,avocado,Avokado,both,Persea americana
20,Melia azedarach,Mpenda bure,Kenya,mpenda bure,local_name (replaced NA),Kenya,Melia azedarach L.,SPECIES,ACCEPTED,Plantae,Tracheophyta,Sapindales,Meliaceae,Melia,Melia azedarach,99,Melia azedarach,mpenda bure,Kenya,V,melia azedarach,0,Accepted,scientific_name,mpenda bure,mpenda bure,both,Melia azedarach
21,Senna siamea,Mjohoro,Kenya,mjohoro,local_name (replaced NA),Kenya,Senna siamea (Lam.) H.S.Irwin & Barneby,SPECIES,ACCEPTED,Plantae,Tracheophyta,Fabales,Fabaceae,Senna,Senna siamea,100,Senna siamea,mjohoro,Kenya,V,senna siamea,0,Accepted,scientific_name,mjohoro,mjohoro,both,Senna siamea
22,Persea americana,Avocado ,Kenya,avocado,local_name (replaced NA),Kenya,Persea americana Mill.,SPECIES,ACCEPTED,Plantae,Tracheophyta,Laurales,Lauraceae,Persea,Persea americana,99,Persea americana,Avokado,Kenya,R,persea americana,0.066666667,Accepted,scientific_name,avocado,Avokado,both,Persea americana
23,Melia azedarach,Mpenda bure,Kenya,mpenda bure,local_name (replaced NA),Kenya,Melia azedarach L.,SPECIES,ACCEPTED,Plantae,Tracheophyta,Sapindales,Meliaceae,Melia,Melia azedarach,99,Melia azedarach,mpenda bure,Kenya,V,melia azedarach,0,Accepted,scientific_name,mpenda bure,mpenda bure,both,Melia azedarach
24,Vachellia,Mgunga,Kenya,mgunga,local_name (replaced NA),Kenya,Vachellia Wight & Arn.,GENUS,ACCEPTED,Plantae,Tracheophyta,Fabales,Fabaceae,Vachellia,,99,Vachellia,Mgunga,Kenya,R,acacia seyal,0,Accepted,scientific_name,mgunga,Mgunga,both,Vachellia
25,Melia azedarach,Mtendabure,Kenya,mtendabure,local_name (replaced NA),Kenya,Melia azedarach L.,SPECIES,ACCEPTED,Plantae,Tracheophyta,Sapindales,Meliaceae,Melia,Melia azedarach,99,Melia azedarach,mpenda bure,Kenya,V,melia azedarach,0.084545455,Accepted,scientific_name,mpenda bure,mpenda bure,both,Melia azedarach
26,Delonix regia,Mrismas ,Kenya,mrismas,local_name (replaced NA),Kenya,Delonix regia (Bojer ex Hook.) Raf.,SPECIES,ACCEPTED,Plantae,Tracheophyta,Fabales,Fabaceae,Delonix,Delonix regia,100,Delonix regia,mkrismas,Kenya,V,delonix regia,0.0375,Accepted,scientific_name,mrismas,mkrismas,both,Delonix regia
27,Senna siamea,Mjohoro,Kenya,mjohoro,local_name (replaced NA),Kenya,Senna siamea (Lam.) H.S.Irwin & Barneby,SPECIES,ACCEPTED,Plantae,Tracheophyta,Fabales,Fabaceae,Senna,Senna siamea,100,Senna siamea,mjohoro,Kenya,V,senna siamea,0,Accepted,scientific_name,mjohoro,mjohoro,both,Senna siamea
28,Monoon longifolium,Ashok,Kenya,ashok,local_name (replaced NA),Kenya,Monoon longifolium (Sonn.) B.Xue & R.M.K.Saunders,SPECIES,SYNONYM,Plantae,Tracheophyta,Magnoliales,Annonaceae,Polyalthia,Polyalthia longifolia,100,Monoon longifolium,ashok,Kenya,V,monoon longifolium,0,Accepted,scientific_name,ashok,ashok,both,Monoon longifolium
29,Croton megalocarpus,croton,Kenya,croton,local_name (replaced NA),Kenya,Croton megalocarpus Hutch.,SPECIES,ACCEPTED,Plantae,Tracheophyta,Malpighiales,Euphorbiaceae,Croton,Croton megalocarpus,100,Croton megalocarpus,Croton,Uganda,R,croton megalocarpus,0,Accepted,scientific_name,mkigara,Mkigara,both,Croton megalocarpus
30,Passiflora edulis,Passion,Kenya,passion,local_name (replaced NA),Kenya,Passiflora edulis Sims,SPECIES,ACCEPTED,Plantae,Tracheophyta,Malpighiales,Passifloraceae,Passiflora,Passiflora edulis,100,Passiflora edulis,passion,,J,passiflora edulis,0,Accepted,scientific_name,kikundi,kikundi,both,Passiflora edulis
31,Faidherbia albida,,Kenya,nan,local_name (replaced NA),Kenya,Faidherbia albida (Delile) A.Chev.,SPECIES,ACCEPTED,Plantae,Tracheophyta,Fabales,Fabaceae,Faidherbia,Faidherbia albida,100,Faidherbia albida,nanda,Tanzania,R,faidherbia albida,0.093333333,Accepted,scientific_name,nan,nanda,both,Faidherbia albida
32,Faidherbia albida,,Kenya,nan,local_name (replaced NA),Kenya,Faidherbia albida (Delile) A.Chev.,SPECIES,ACCEPTED,Plantae,Tracheophyta,Fabales,Fabaceae,Faidherbia,Faidherbia albida,100,Faidherbia albida,nanda,Tanzania,R,faidherbia albida,0.093333333,Accepted,scientific_name,nan,nanda,both,Faidherbia albida
33,Senna siamea,Mjohoro,Kenya,mjohoro,local_name (replaced NA),Kenya,Senna siamea (Lam.) H.S.Irwin & Barneby,SPECIES,ACCEPTED,Plantae,Tracheophyta,Fabales,Fabaceae,Senna,Senna siamea,100,Senna siamea,mjohoro,Kenya,V,senna siamea,0,Accepted,scientific_name,mjohoro,mjohoro,both,Senna siamea
34,,Msoda,Kenya,msoda,local_name (replaced NA),,,,,,,,,,,,,,,,,,,,,,left_only,
