,Scientific name,Local name,country_x,verbatim_name,nameSource_x,country_y,scientificName,rank,status,kingdom,phylum,order,family,genus,species,confidence,canonicalName,species_matched_from_accepted,country_matched_from,source,verbatim_name_from_gbif,match_score,match_status,nameSource_y,original_name_gbif_local,species_matched_from_gbif_local,_merge,cleaned_scientific_name
340,Berchemia discolor,makundi,Kenya,makundi,local_name (replaced NA),Kenya,Berchemia discolor (Klotzsch) Hemsl.,SPECIES,SYNONYM,Plantae,Tracheophyta,Rosales,Rhamnaceae,Phyllogeiton,Phyllogeiton discolor,100,Berchemia discolor,mkuni,Tanzania,R,berchemia discolor,0.085714286,Accepted,scientific_name,muthakwa,Muthwana,both,Berchemia discolor
341,Carica papaya,Ivavai,Kenya,carica papaya,scientific_name,Kenya,Carica papaya L.,SPECIES,ACCEPTED,Plantae,Tracheophyta,Brassicales,Caricaceae,Carica,Carica papaya,100,Carica papaya,,,,,,,,,,both,Carica papaya
342,Senna spectabilis,Muchola,Kenya,senna spectabilis,scientific_name,Kenya,Senna spectabilis (DC.) H.S.Irwin & Barneby,SPECIES,ACCEPTED,Plantae,Tracheophyta,Fabales,Fabaceae,Senna,Senna spectabilis,100,Senna spectabilis,,,,,,,,,,both,Senna spectabilis
343,Grevillea robusta,gluvelia,Kenya,gluvelia,local_name (replaced NA),Kenya,Grevillea robusta A.Cunn. ex R.Br.,SPECIES,ACCEPTED,Plantae,Tracheophyta,Proteales,Proteaceae,Grevillea,Grevillea robusta,99,Grevillea robusta,gruvelia,,T,grevillea robusta,0.075,Accepted,scientific_name,mukirismas,Mukima,both,Grevillea robusta
344,Acacia tortilis,Mwaa,Kenya,acacia tortillis,scientific_name,Kenya,Acacia tortilis (Forssk.) Hayne,SPECIES,SYNONYM,Plantae,Tracheophyta,Fabales,Fabaceae,Vachellia,Vachellia tortilis,97,Acacia tortilis,,,,,,,,,,both,Acacia tortilis
345,Croton megalocarpus,Kithulu,Kenya,croton megalocarpus,scientific_name,Kenya,Croton megalocarpus Hutch.,SPECIES,ACCEPTED,Plantae,Tracheophyta,Malpighiales,Euphorbiaceae,Croton,Croton megalocarpus,100,Croton megalocarpus,,,,,,,,,,both,Croton megalocarpus
346,Tamarindus indica,Mikwasu,Kenya,tamarindus indica,scientific_name,Kenya,Tamarindus indica L.,SPECIES,ACCEPTED,Plantae,Tracheophyta,Fabales,Fabaceae,Tamarindus,Tamarindus indica,100,Tamarindus indica,,,,,,,,,,both,Tamarindus indica
347,Azadirachta indica,Muarobaini,Kenya,azadirachta indica,scientific_name,Kenya,Azadirachta indica A.Juss.,SPECIES,ACCEPTED,Plantae,Tracheophyta,Sapindales,Meliaceae,Azadirachta,Azadirachta indica,100,Azadirachta indica,,,,,,,,,,both,Azadirachta indica
348,Citrus limon,Mutimu,Kenya,citrus limon,scientific_name,Kenya,Citrus × limon (L.) Osbeck,SPECIES,ACCEPTED,Plantae,Tracheophyta,Sapindales,Rutaceae,Citrus,Citrus limon,99,Citrus limon,,,,,,,,,,both,Citrus limon
349,Acacia mellifera,Muthiia,Kenya,acacia mellifera,scientific_name,Kenya,Acacia mellifera (Vahl.) Benth.,SPECIES,SYNONYM,Plantae,Tracheophyta,Fabales,Fabaceae,Senegalia,Senegalia mellifera,99,Acacia mellifera,,,,,,,,,,both,Acacia mellifera
350,Acacia laeta,Munina,Kenya,acacia laeta,scientific_name,Kenya,Acacia laeta R.Br. ex Benth.,SPECIES,SYNONYM,Plantae,Tracheophyta,Fabales,Fabaceae,Senegalia,Senegalia laeta,99,Acacia laeta,,,,,,,,,,both,Acacia laeta
351,Grevillea robusta,Gluvelia,Kenya,gluvelia,local_name (replaced NA),Kenya,Grevillea robusta A.Cunn. ex R.Br.,SPECIES,ACCEPTED,Plantae,Tracheophyta,Proteales,Proteaceae,Grevillea,Grevillea robusta,99,Grevillea robusta,gruvelia,,T,grevillea robusta,0.075,Accepted,scientific_name,mukirismas,Mukima,both,Grevillea robusta
352,Senna spectabilis,Sienna Siamea,Kenya,sienna siamea,local_name (replaced NA),Kenya,Senna spectabilis (DC.) H.S.Irwin & Barneby,SPECIES,ACCEPTED,Plantae,Tracheophyta,Fabales,Fabaceae,Senna,Senna spectabilis,100,Senna spectabilis,sienna simea,,J,senna spectabilis,0.032051282,Accepted,scientific_name,cassia,Cassia,both,Senna spectabilis
353,Tamarix nilotica,Tamarindus,Kenya,tamarindus,local_name (replaced NA),Kenya,Tamarix nilotica (Ehrenb.) Bunge,SPECIES,ACCEPTED,Plantae,Tracheophyta,Caryophyllales,Tamaricaceae,Tamarix,Tamarix nilotica,100,Tamarix nilotica,Tamarisk,Kenya,R,tamarix nilotica,0.085,Accepted,scientific_name,tamarindus,Tamarisk,both,Tamarix nilotica
354,Moringa oleifera,Moringa,Kenya,moringa,local_name (replaced NA),Kenya,Moringa oleifera Lam.,SPECIES,ACCEPTED,Plantae,Tracheophyta,Brassicales,Moringaceae,Moringa,Moringa oleifera,99,Moringa oleifera,moringa,Kenya,V,moringa oleifera,0,Accepted,scientific_name,moringa,moringa,both,Moringa oleifera
355,Senna siamea,Mukengeta,Kenya,mukengeta,local_name (replaced NA),Kenya,Senna siamea (Lam.) H.S.Irwin & Barneby,SPECIES,ACCEPTED,Plantae,Tracheophyta,Fabales,Fabaceae,Senna,Senna siamea,100,Senna siamea,Mukengeta,Kenya,V,senna siamea,0,Accepted,scientific_name,mjohoro,mjohoro,both,Senna siamea
356,Mangifera indica,kiembe,Kenya,kiembe,local_name (replaced NA),Kenya,Mangifera indica L.,SPECIES,ACCEPTED,Plantae,Tracheophyta,Sapindales,Anacardiaceae,Mangifera,Mangifera indica,99,Mangifera indica,kiembe,Kenya,V,mangifera indica,0,Accepted,scientific_name,mangoes,mangoes,both,Mangifera indica
357,Eucalyptus camaldulensis,musanduku,Kenya,musanduku,local_name (replaced NA),Kenya,Eucalyptus camaldulensis Denham,SPECIES,ACCEPTED,Plantae,Tracheophyta,Myrtales,Myrtaceae,Eucalyptus,Eucalyptus camaldulensis,99,Eucalyptus camaldulensis,Musanduku,Kenya,R,eucalyptus camaldulensis,0,Accepted,scientific_name,musanduku,Musanduku,both,Eucalyptus camaldulensis
358,Croton megalocarpus,croton,Kenya,croton megalocarpus,scientific_name,Kenya,Croton megalocarpus Hutch.,SPECIES,ACCEPTED,Plantae,Tracheophyta,Malpighiales,Euphorbiaceae,Croton,Croton megalocarpus,100,Croton megalocarpus,,,,,,,,,,both,Croton megalocarpus
359,Syzygium germainii,zambarau mwitu,Kenya,syzygium germainii,scientific_name,Kenya,Syzygium germainii Amshoff,SPECIES,ACCEPTED,Plantae,Tracheophyta,Myrtales,Myrtaceae,Syzygium,Syzygium germainii,100,Syzygium germainii,,,,,,,,,,both,Syzygium germainii
360,Croton megalocarpus,croton,Kenya,croton megalocarpus,scientific_name,Kenya,Croton megalocarpus Hutch.,SPECIES,ACCEPTED,Plantae,Tracheophyta,Malpighiales,Euphorbiaceae,Croton,Croton megalocarpus,100,Croton megalocarpus,,,,,,,,,,both,Croton megalocarpus
361,,mulungu,Kenya,agenia vasinika,scientific_name,,,,,,,,,,,,,,,,,,,,,,left_only,
362,Markhamia lutea,makamia,Kenya,markhamia lutea,scientific_name,Kenya,Markhamia lutea (Benth.) K.Schum.,SPECIES,ACCEPTED,Plantae,Tracheophyta,Lamiales,Bignoniaceae,Markhamia,Markhamia lutea,100,Markhamia lutea,,,,,,,,,,both,Markhamia lutea
363,Persea americana,avacado tree,Kenya,avocado tree,scientific_name,Kenya,Persea americana Mill.,SPECIES,ACCEPTED,Plantae,Tracheophyta,Laurales,Lauraceae,Persea,Persea americana,99,Persea americana,Avocado pea,Kenya,R,persea americana,0.086363636,Accepted,scientific_name,avocado,Avokado,both,Persea americana
364,Grevillea robusta,grevilia,Kenya,grevillea robusta,scientific_name,Kenya,Grevillea robusta A.Cunn. ex R.Br.,SPECIES,ACCEPTED,Plantae,Tracheophyta,Proteales,Proteaceae,Grevillea,Grevillea robusta,99,Grevillea robusta,,,,,,,,,,both,Grevillea robusta
365,Ziziphus mauritiana,Mzizi,Kenya,mzizi,local_name (replaced NA),Kenya,Ziziphus mauritiana Lam.,SPECIES,ACCEPTED,Plantae,Tracheophyta,Rosales,Rhamnaceae,Ziziphus,Ziziphus mauritiana,100,Ziziphus mauritiana,zizi,,T,ziziphus mauritiana,0.066666667,Accepted,scientific_name,mzizi,zizi,both,Ziziphus mauritiana
366,Buddleja polystachya,Pine,Kenya,pine,local_name (replaced NA),Kenya,Buddleja polystachya Fresen.,SPECIES,ACCEPTED,Plantae,Tracheophyta,Lamiales,Scrophulariaceae,Buddleja,Buddleja polystachya,100,Buddleja polystachya,Pinet,Kenya,R,buddleja polystachya,0.040000000000000036,Accepted,scientific_name,pine,Pinet,both,Buddleja polystachya
367,Croton megalocarpus,Croton,Kenya,croton megalocarpus,scientific_name,Kenya,Croton megalocarpus Hutch.,SPECIES,ACCEPTED,Plantae,Tracheophyta,Malpighiales,Euphorbiaceae,Croton,Croton megalocarpus,100,Croton megalocarpus,,,,,,,,,,both,Croton megalocarpus
368,Acacia tortilis,wapugha,Kenya,wapugha,local_name (replaced NA),Kenya,Acacia tortilis (Forssk.) Hayne,SPECIES,SYNONYM,Plantae,Tracheophyta,Fabales,Fabaceae,Vachellia,Vachellia tortilis,97,Acacia tortilis,wapugha,Kenya,V,acacia tortillis,0,Accepted,scientific_name,wapugha,wapugha,both,Acacia tortilis
369,Ocotea usambarensis,Mkongo,Kenya,mkongo,local_name (replaced NA),Kenya,Ocotea usambarensis Engl.,SPECIES,SYNONYM,Plantae,Tracheophyta,Laurales,Lauraceae,Kuloa,Kuloa usambarensis,100,Ocotea usambarensis,Mkongo,Kenya,R,ocotea usambarensis,0,Accepted,scientific_name,mkongo,Mkongo,both,Ocotea usambarensis
370,Afrocarpus falcatus,Podo,Kenya,podo,local_name (replaced NA),Kenya,Afrocarpus falcatus (Thunb.) C.N.Page,SPECIES,ACCEPTED,Plantae,Tracheophyta,Pinales,Podocarpaceae,Afrocarpus,Afrocarpus falcatus,99,Afrocarpus falcatus,Podo,Kenya,R,afrocarpus falcatus,0,Accepted,scientific_name,podo,Podo,both,Afrocarpus falcatus
371,Cupressus lusitanica,Cypress,Kenya,cypress,local_name (replaced NA),Kenya,Cupressus lusitanica Mill.,SPECIES,ACCEPTED,Plantae,Tracheophyta,Pinales,Cupressaceae,Cupressus,Cupressus lusitanica,99,Cupressus lusitanica,cypress,,J,cupressus lusitanica,0,Accepted,scientific_name,cypress,cypress,both,Cupressus lusitanica
372,Eucalyptus,Eucalyptus,Kenya,eucalyptus,local_name (replaced NA),Kenya,Eucalyptus L'Hér.,GENUS,ACCEPTED,Plantae,Tracheophyta,Myrtales,Myrtaceae,Eucalyptus,,95,Eucalyptus,eucalyptus,,T,eucalyptus spp,0,Accepted,scientific_name,eucalyptus,eucalyptus,both,Eucalyptus
373,Myrianthus holstii,Mzambangala,Kenya,mzambangala,local_name (replaced NA),Kenya,Myrianthus holstii Engl.,SPECIES,ACCEPTED,Plantae,Tracheophyta,Rosales,Urticaceae,Myrianthus,Myrianthus holstii,100,Myrianthus holstii,mabagala,Tanzania,R,myrianthus holstii,0.081818182,Accepted,scientific_name,mzambangala,mabagala,both,Myrianthus holstii
374,Monoon longifolium,Ashok,Kenya,ashok,local_name (replaced NA),Kenya,Monoon longifolium (Sonn.) B.Xue & R.M.K.Saunders,SPECIES,SYNONYM,Plantae,Tracheophyta,Magnoliales,Annonaceae,Polyalthia,Polyalthia longifolia,100,Monoon longifolium,ashok,Kenya,V,monoon longifolium,0,Accepted,scientific_name,ashok,ashok,both,Monoon longifolium
375,Persea americana,avocado,Kenya,avocado,local_name (replaced NA),Kenya,Persea americana Mill.,SPECIES,ACCEPTED,Plantae,Tracheophyta,Laurales,Lauraceae,Persea,Persea americana,99,Persea americana,Avokado,Kenya,R,persea americana,0.066666667,Accepted,scientific_name,avocado,Avokado,both,Persea americana
376,Croton megalocarpus,kithulu,Kenya,kithulu,local_name (replaced NA),Kenya,Croton megalocarpus Hutch.,SPECIES,ACCEPTED,Plantae,Tracheophyta,Malpighiales,Euphorbiaceae,Croton,Croton megalocarpus,100,Croton megalocarpus,Kithulu,Kenya,V,croton megalocarpus,0,Accepted,scientific_name,mkigara,Mkigara,both,Croton megalocarpus
377,,muselesele,Kenya,muselesele,local_name (replaced NA),,,,,,,,,,,,,,,,,,,,,,left_only,
378,Umbrella,umbrella tree,Kenya,umbrella tree,local_name (replaced NA),Kenya,"Umbrella Conrad, 1854",GENUS,ACCEPTED,incertae sedis,,,,Umbrella,,91,Umbrella,,,,,,,,,,both,Umbrella
379,Syzygium cordatum,thambalau,Kenya,thambalau,local_name (replaced NA),Kenya,Syzygium cordatum Hochst.,SPECIES,ACCEPTED,Plantae,Tracheophyta,Myrtales,Myrtaceae,Syzygium,Syzygium cordatum,99,Syzygium cordatum,thambalau,Kenya,V,syzygium cordatum,0,Accepted,scientific_name,musu,Musu,both,Syzygium cordatum
380,Azadirachta indica,mwarobaini,Kenya,mwarobaini,local_name (replaced NA),Kenya,Azadirachta indica A.Juss.,SPECIES,ACCEPTED,Plantae,Tracheophyta,Sapindales,Meliaceae,Azadirachta,Azadirachta indica,100,Azadirachta indica,Mwarubaini,Kenya,R,azadirachta indica,0.040000000000000036,Accepted,scientific_name,mwarobaini,Mwarubaini,both,Azadirachta indica
381,,thika palm,Kenya,thika palm,local_name (replaced NA),,,,,,,,,,,,,,,,,,,,,,left_only,
382,Persea americana,avocado,Kenya,avocado,local_name (replaced NA),Kenya,Persea americana Mill.,SPECIES,ACCEPTED,Plantae,Tracheophyta,Laurales,Lauraceae,Persea,Persea americana,99,Persea americana,Avokado,Kenya,R,persea americana,0.066666667,Accepted,scientific_name,avocado,Avokado,both,Persea americana
383,Ficus sur,mvumu,Kenya,ficus sur,scientific_name,Kenya,Ficus sur Forssk.,SPECIES,ACCEPTED,Plantae,Tracheophyta,Rosales,Moraceae,Ficus,Ficus sur,100,Ficus sur,,,,,,,,,,both,Ficus sur
384,Oxytenanthera abyssinica,Bamboo,Kenya,bamboo,local_name (replaced NA),Kenya,Oxytenanthera abyssinica (A.Rich.) Munro,SPECIES,ACCEPTED,Plantae,Tracheophyta,Poales,Poaceae,Oxytenanthera,Oxytenanthera abyssinica,100,Oxytenanthera abyssinica,bamboo,Kenya,V,oxytenanthera abyssinica,0,Accepted,scientific_name,bamboo,bamboo,both,Oxytenanthera abyssinica
385,Mangifera indica,maembe,Kenya,mangifera indica,scientific_name,Kenya,Mangifera indica L.,SPECIES,ACCEPTED,Plantae,Tracheophyta,Sapindales,Anacardiaceae,Mangifera,Mangifera indica,99,Mangifera indica,,,,,,,,,,both,Mangifera indica
386,Grevillea robusta,Grevillea,Kenya,grevillea robusta,scientific_name,Kenya,Grevillea robusta A.Cunn. ex R.Br.,SPECIES,ACCEPTED,Plantae,Tracheophyta,Proteales,Proteaceae,Grevillea,Grevillea robusta,99,Grevillea robusta,,,,,,,,,,both,Grevillea robusta
387,Flacourtia indica,Mora,Kenya,mora,local_name (replaced NA),Kenya,Flacourtia indica (Burm.fil.) Merr.,SPECIES,ACCEPTED,Plantae,Tracheophyta,Malpighiales,Salicaceae,Flacourtia,Flacourtia indica,100,Flacourtia indica,mgora,Tanzania,R,flacourtia indica,0.06,Accepted,scientific_name,mmbuchi,msambuchi,both,Flacourtia indica
388,Mangifera indica,Mango,Kenya,mangifera indica,scientific_name,Kenya,Mangifera indica L.,SPECIES,ACCEPTED,Plantae,Tracheophyta,Sapindales,Anacardiaceae,Mangifera,Mangifera indica,99,Mangifera indica,,,,,,,,,,both,Mangifera indica
389,,Chamsidu,Kenya,chamsidu,local_name (replaced NA),,,,,,,,,,,,,,,,,,,,,,left_only,
390,,Msuruwache,Kenya,msuruwache,local_name (replaced NA),,,,,,,,,,,,,,,,,,,,,,left_only,
391,Prunus africana,Mngima,Kenya,prunus africana,scientific_name,Kenya,Prunus africana (Hook.fil.) Kalkman,SPECIES,ACCEPTED,Plantae,Tracheophyta,Rosales,Rosaceae,Prunus,Prunus africana,100,Prunus africana,,,,,,,,,,both,Prunus africana
392,Citrus aurantiifolia,Lime,Kenya,lime,local_name (replaced NA),Kenya,Citrus × aurantiifolia (Christm.) Swingle,SPECIES,ACCEPTED,Plantae,Tracheophyta,Sapindales,Rutaceae,Citrus,Citrus aurantiifolia,100,Citrus aurantiifolia,Lime,Uganda,R,citrus aurantiifolia,0,Accepted,scientific_name,lime,Lime,both,Citrus aurantiifolia
393,Dovyalis caffra,Kayaba,Kenya,kayaba,local_name (replaced NA),Kenya,Dovyalis caffra (Hook.fil. & Harv.) Warb.,SPECIES,ACCEPTED,Plantae,Tracheophyta,Malpighiales,Salicaceae,Dovyalis,Dovyalis caffra,99,Dovyalis caffra,Kaiyaba,Kenya,R,dovyalis caffra,0.038095238,Accepted,scientific_name,kayaba,Kaiyaba,both,Dovyalis caffra
394,Afrocarpus usambarensis,,Kenya,afrocapus usambarensis,scientific_name,Kenya,Afrocarpus usambarensis (Pilg.) C.N.Page,SPECIES,ACCEPTED,Plantae,Tracheophyta,Pinales,Podocarpaceae,Afrocarpus,Afrocarpus usambarensis,86,Afrocarpus usambarensis,,,,,,,,,,both,Afrocarpus usambarensis
395,Grevillea robusta,,Kenya,grevillea robusta,scientific_name,Kenya,Grevillea robusta A.Cunn. ex R.Br.,SPECIES,ACCEPTED,Plantae,Tracheophyta,Proteales,Proteaceae,Grevillea,Grevillea robusta,99,Grevillea robusta,,,,,,,,,,both,Grevillea robusta
396,Jacaranda mimosifolia,Jacaranda,Kenya,jacaranda mimosifolia,scientific_name,Kenya,Jacaranda mimosifolia D.Don,SPECIES,ACCEPTED,Plantae,Tracheophyta,Lamiales,Bignoniaceae,Jacaranda,Jacaranda mimosifolia,100,Jacaranda mimosifolia,,,,,,,,,,both,Jacaranda mimosifolia
397,Cupressus lusitanica,Cypress,Kenya,cypress,local_name (replaced NA),Kenya,Cupressus lusitanica Mill.,SPECIES,ACCEPTED,Plantae,Tracheophyta,Pinales,Cupressaceae,Cupressus,Cupressus lusitanica,99,Cupressus lusitanica,cypress,,J,cupressus lusitanica,0,Accepted,scientific_name,cypress,cypress,both,Cupressus lusitanica
398,Eucalyptus saligna,,Kenya,eucalyptus saligna,scientific_name,Kenya,Eucalyptus saligna Sm.,SPECIES,ACCEPTED,Plantae,Tracheophyta,Myrtales,Myrtaceae,Eucalyptus,Eucalyptus saligna,99,Eucalyptus saligna,,,,,,,,,,both,Eucalyptus saligna
399,Grevillea robusta,Grevilea,Kenya,grevillea robusta,scientific_name,Kenya,Grevillea robusta A.Cunn. ex R.Br.,SPECIES,ACCEPTED,Plantae,Tracheophyta,Proteales,Proteaceae,Grevillea,Grevillea robusta,99,Grevillea robusta,,,,,,,,,,both,Grevillea robusta
400,Persea americana,Avocado,Kenya,avocado,local_name (replaced NA),Kenya,Persea americana Mill.,SPECIES,ACCEPTED,Plantae,Tracheophyta,Laurales,Lauraceae,Persea,Persea americana,99,Persea americana,Avokado,Kenya,R,persea americana,0.066666667,Accepted,scientific_name,avocado,Avokado,both,Persea americana
401,Syzygium cordatum,Kisambalau,Kenya,kisambalau,local_name (replaced NA),Kenya,Syzygium cordatum Hochst.,SPECIES,ACCEPTED,Plantae,Tracheophyta,Myrtales,Myrtaceae,Syzygium,Syzygium cordatum,99,Syzygium cordatum,kisambalau,Kenya,V,syzygium cordatum,0,Accepted,scientific_name,musu,Musu,both,Syzygium cordatum
402,Mangifera indica,Syiembe,Kenya,syiembe,local_name (replaced NA),Kenya,Mangifera indica L.,SPECIES,ACCEPTED,Plantae,Tracheophyta,Sapindales,Anacardiaceae,Mangifera,Mangifera indica,99,Mangifera indica,syiembe,Kenya,V,mangifera indica,0,Accepted,scientific_name,mangoes,mangoes,both,Mangifera indica
403,Senna siamea,Mukengengeta,Kenya,mukengengeta,local_name (replaced NA),Kenya,Senna siamea (Lam.) H.S.Irwin & Barneby,SPECIES,ACCEPTED,Plantae,Tracheophyta,Fabales,Fabaceae,Senna,Senna siamea,100,Senna siamea,Mukengeta,Kenya,V,senna siamea,0.050000000000000044,Accepted,scientific_name,mjohoro,mjohoro,both,Senna siamea
404,Acacia mellifera,iti,Kenya,iti,local_name (replaced NA),Kenya,Acacia mellifera (Vahl.) Benth.,SPECIES,SYNONYM,Plantae,Tracheophyta,Fabales,Fabaceae,Senegalia,Senegalia mellifera,99,Acacia mellifera,Iti,Kenya,R,acacia mellifera,0,Accepted,scientific_name,iti,Iti,both,Acacia mellifera
405,Physalis peruviana,yellow barks,Kenya,yellow barks,local_name (replaced NA),Kenya,Physalis peruviana L.,SPECIES,ACCEPTED,Plantae,Tracheophyta,Solanales,Solanaceae,Physalis,Physalis peruviana,99,Physalis peruviana,yellow berry,,J,physalis peruviana,0.1,Accepted,scientific_name,yellow barks,yellow berry,both,Physalis peruviana
406,Citrus sinensis,orange trees,Kenya,orange trees,local_name (replaced NA),Kenya,"Citrus sinensis (Mill.) Pers., 1806",SPECIES,SYNONYM,Plantae,Tracheophyta,Sapindales,Rutaceae,Citrus,Citrus aurantium,99,Citrus sinensis,orange tree,Kenya,V,citrus sinensis,0.016666667,Accepted,scientific_name,orange pixes,orange,both,Citrus sinensis
407,Citrus limon,lemon,Kenya,lemon,local_name (replaced NA),Kenya,Citrus × limon (L.) Osbeck,SPECIES,ACCEPTED,Plantae,Tracheophyta,Sapindales,Rutaceae,Citrus,Citrus limon,99,Citrus limon,lemon,Kenya,V,citrus limon,0,Accepted,scientific_name,lemon,lemon,both,Citrus limon
408,Persea americana,ovacado,Kenya,ovacado,local_name (replaced NA),Kenya,Persea americana Mill.,SPECIES,ACCEPTED,Plantae,Tracheophyta,Laurales,Lauraceae,Persea,Persea americana,99,Persea americana,muovacado,Kenya,V,persea americana,0.074074074,Accepted,scientific_name,avocado,Avokado,both,Persea americana
409,Passiflora edulis,passion,Kenya,passion,local_name (replaced NA),Kenya,Passiflora edulis Sims,SPECIES,ACCEPTED,Plantae,Tracheophyta,Malpighiales,Passifloraceae,Passiflora,Passiflora edulis,100,Passiflora edulis,passion,,J,passiflora edulis,0,Accepted,scientific_name,kikundi,kikundi,both,Passiflora edulis
410,Carica papaya,pawpaw,Kenya,pawpaw,local_name (replaced NA),Kenya,Carica papaya L.,SPECIES,ACCEPTED,Plantae,Tracheophyta,Brassicales,Caricaceae,Carica,Carica papaya,100,Carica papaya,Pawpaw,Uganda,R,carica papaya,0,Accepted,scientific_name,kivavai,kivavai,both,Carica papaya
411,Melia azedarach,mpenda bure,Kenya,mpenda bure,local_name (replaced NA),Kenya,Melia azedarach L.,SPECIES,ACCEPTED,Plantae,Tracheophyta,Sapindales,Meliaceae,Melia,Melia azedarach,99,Melia azedarach,mpenda bure,Kenya,V,melia azedarach,0,Accepted,scientific_name,mpenda bure,mpenda bure,both,Melia azedarach
412,Umbrella,umbrella tree,Kenya,umbrella tree,local_name (replaced NA),Kenya,"Umbrella Conrad, 1854",GENUS,ACCEPTED,incertae sedis,,,,Umbrella,,91,Umbrella,,,,,,,,,,both,Umbrella
413,Grevillea robusta,Gerivellia,Kenya,gerivellia,local_name (replaced NA),Kenya,Grevillea robusta A.Cunn. ex R.Br.,SPECIES,ACCEPTED,Plantae,Tracheophyta,Proteales,Proteaceae,Grevillea,Grevillea robusta,99,Grevillea robusta,greverillia,,J,grevillea robusta,0.087272727,Accepted,scientific_name,mukirismas,Mukima,both,Grevillea robusta
414,,makolovia,Kenya,makolovia,local_name (replaced Unknown),,,,,,,,,,,,,,,,,,,,,,left_only,
415,Citrus limon,mutimu,Kenya,citrus limon,scientific_name,Kenya,Citrus × limon (L.) Osbeck,SPECIES,ACCEPTED,Plantae,Tracheophyta,Sapindales,Rutaceae,Citrus,Citrus limon,99,Citrus limon,,,,,,,,,,both,Citrus limon
416,Delonix regia,Christmas tree,Kenya,christmas tree,local_name (replaced Unknown),Kenya,Delonix regia (Bojer ex Hook.) Raf.,SPECIES,ACCEPTED,Plantae,Tracheophyta,Fabales,Fabaceae,Delonix,Delonix regia,100,Delonix regia,christmas tree,Kenya,V,delonix regia,0,Accepted,scientific_name,mrismas,mkrismas,both,Delonix regia
417,Gliricidia sepium,glecidia,Kenya,glecidia,local_name (replaced NA),Kenya,Gliricidia sepium (Jacq.) Kunth,SPECIES,ACCEPTED,Plantae,Tracheophyta,Fabales,Fabaceae,Gliricidia,Gliricidia sepium,99,Gliricidia sepium,Glucidia,,J,gliricidia sepium,0.066666667,Accepted,scientific_name,glecidia,Glucidia,both,Gliricidia sepium
418,,kimwaa,Kenya,kimwaa,local_name (replaced NA),,,,,,,,,,,,,,,,,,,,,,left_only,
419,Moringa oleifera,moringa,Kenya,moringa,local_name (replaced NA),Kenya,Moringa oleifera Lam.,SPECIES,ACCEPTED,Plantae,Tracheophyta,Brassicales,Moringaceae,Moringa,Moringa oleifera,99,Moringa oleifera,moringa,Kenya,V,moringa oleifera,0,Accepted,scientific_name,moringa,moringa,both,Moringa oleifera
420,Azadirachta indica,mwarubaini,Kenya,mwarubaini,local_name (replaced NA),Kenya,Azadirachta indica A.Juss.,SPECIES,ACCEPTED,Plantae,Tracheophyta,Sapindales,Meliaceae,Azadirachta,Azadirachta indica,100,Azadirachta indica,Mwarubaini,Kenya,R,azadirachta indica,0,Accepted,scientific_name,mwarobaini,Mwarubaini,both,Azadirachta indica
421,Delonix regia,Christmas tree,Kenya,christmas tree,local_name (replaced NA),Kenya,Delonix regia (Bojer ex Hook.) Raf.,SPECIES,ACCEPTED,Plantae,Tracheophyta,Fabales,Fabaceae,Delonix,Delonix regia,100,Delonix regia,christmas tree,Kenya,V,delonix regia,0,Accepted,scientific_name,mrismas,mkrismas,both,Delonix regia
422,Tamarindus indica,kikwasu,Kenya,tamarindus indica,scientific_name,Kenya,Tamarindus indica L.,SPECIES,ACCEPTED,Plantae,Tracheophyta,Fabales,Fabaceae,Tamarindus,Tamarindus indica,100,Tamarindus indica,,,,,,,,,,both,Tamarindus indica
423,,Mkwaju,Kenya,tarmerin,scientific_name,,,,,,,,,,,,,,,,,,,,,,left_only,
424,,Mkwaju,Kenya,tarmerin,scientific_name,,,,,,,,,,,,,,,,,,,,,,left_only,
425,Ficus sycomorus,Mkuyu,Kenya,mkuyu,local_name (replaced NA),Kenya,Ficus sycomorus L.,SPECIES,ACCEPTED,Plantae,Tracheophyta,Rosales,Moraceae,Ficus,Ficus sycomorus,100,Ficus sycomorus,mkuyu,Kenya,V,ficus sycomorus,0,Accepted,scientific_name,mkuyu,mkuyu,both,Ficus sycomorus
426,Moringa oleifera,Moringa,Kenya,moringa,local_name (replaced NA),Kenya,Moringa oleifera Lam.,SPECIES,ACCEPTED,Plantae,Tracheophyta,Brassicales,Moringaceae,Moringa,Moringa oleifera,99,Moringa oleifera,moringa,Kenya,V,moringa oleifera,0,Accepted,scientific_name,moringa,moringa,both,Moringa oleifera
427,Melia volkensii,Kirumbutu,Kenya,kirumbutu,local_name (replaced NA),Kenya,Melia volkensii Gürke,SPECIES,ACCEPTED,Plantae,Tracheophyta,Sapindales,Meliaceae,Melia,Melia volkensii,100,Melia volkensii,Kirumbutu,Kenya,R,melia volkensii,0,Accepted,scientific_name,kirumbutu,Kirumbutu,both,Melia volkensii
428,Adansonia digitata,Mbuyu,Kenya,mbuyu,local_name (replaced NA),Kenya,Adansonia digitata L.,SPECIES,ACCEPTED,Plantae,Tracheophyta,Malvales,Malvaceae,Adansonia,Adansonia digitata,100,Adansonia digitata,Muyu,Kenya,R,adansonia digitata,0.06,Accepted,scientific_name,mbuyu,Muyu,both,Adansonia digitata
