Scientific Name,Local Name,Tree Usage,Other Usages,has_fruits
,Kiundwa,SHADE FIREWOOD SOIL_FERTILITY FODDER CONSTRUCTION ,,False
,Kiamba,SHADE FIREWOOD SOIL_FERTILITY FODDER FRUITS CONSTRUCTION ,Weaving and mabuyu,True
,Muvingo,SHADE FIREWOOD SOIL_FERTILITY FODDER ,,False
,Mukau,SHADE FIREWOOD MEDICINAL FODDER CONSTRUCTION ,,False
,Ikuu,SHADE FIREWOOD SOIL_FERTILITY CONSTRUCTION ,Fencing,False
,Itula,SHADE FIREWOOD SOIL_FERTILITY CONSTRUCTION ,,False
,Mwaa,SHADE FIREWOOD SOIL_FERTILITY FODDER CONSTRUCTION ,,False
,mwarubaini,SHADE FIREWOOD MEDICINAL SOIL_FERTILITY FODDER CONSTRUCTION ,,False
,Muvingo,SOIL_FERTILITY CONSTRUCTION ,carving,False
,kiundwa,SHADE FIREWOOD SOIL_FERTILITY FODDER CONSTRUCTION ,,False
,Kiuuku,SHADE FIREWOOD SOIL_FERTILITY FODDER CONSTRUCTION ,,False
,Kithea,SHADE FIREWOOD SOIL_FERTILITY ,Wood carving,False
,Muthingii,SHADE FIREWOOD CONSTRUCTION MEDICINAL ,,False
,kitoo,FIREWOOD CONSTRUCTION ,,False
,kithiia,FIREWOOD CONSTRUCTION ,,False
Millettia ferruginea,mwava,FIREWOOD CONSTRUCTION FODDER SOIL_FERTILITY SHADE ,,False
Ficus sur,muvumu,FIREWOOD FODDER SOIL_FERTILITY SHADE ,,False
wattle,mugamu,FIREWOOD CONSTRUCTION FODDER SOIL_FERTILITY SHADE ,,False
Croton megalocarpus,croton,FIREWOOD FODDER MEDICINAL SOIL_FERTILITY ,,False
Bridelia micrantha,mumora,FIREWOOD CONSTRUCTION SOIL_FERTILITY SHADE ,,False
Podocarpus latifolius,podo,FIREWOOD CONSTRUCTION SOIL_FERTILITY SHADE ,,False
erythrina abyssince,mulungu,SHADE MEDICINAL ,curving,False
Acacia elatior,,FIREWOOD SHADE ,,False
,mzaule,FODDER FIREWOOD SHADE ,,False
,mnyanga,SHADE ,,False
,euphorbia candelabrum,FIREWOOD SHADE ,,False
,mkuyu,SHADE ,,False
,kithulu,SHADE FIREWOOD FODDER ,,False
,Itungati,FIREWOOD CONSTRUCTION ,,False
,acacia,CONSTRUCTION FODDER FIREWOOD ,,False
,muuku,CONSTRUCTION FIREWOOD ,,False
,itithi,CONSTRUCTION SOIL_FERTILITY FIREWOOD ,,False
,muvingo,CONSTRUCTION FODDER SOIL_FERTILITY FIREWOOD ,,False
,imuna,CONSTRUCTION SOIL_FERTILITY FIREWOOD ,,False
,mukenea,CONSTRUCTION FODDER SOIL_FERTILITY FIREWOOD ,,False
,itungate,CONSTRUCTION ,,False
,mukengeta,CONSTRUCTION SOIL_FERTILITY FIREWOOD ,,False
,mululi,CONSTRUCTION SOIL_FERTILITY FIREWOOD ,,False
,Muema nzou,CONSTRUCTION SOIL_FERTILITY FIREWOOD ,,False
,Kilului,FODDER FRUITS FIREWOOD SHADE SOIL_FERTILITY ,,True
,Kithiia,FODDER FIREWOOD SHADE SOIL_FERTILITY ,,False
,Mwela ndathe,FODDER MEDICINAL FIREWOOD SOIL_FERTILITY ,,False
,mwarobaini,FODDER FIREWOOD CONSTRUCTION SHADE SOIL_FERTILITY ,,False
,Muvingo,OTHER ,,False
,Kikwasu,FRUITS FIREWOOD CONSTRUCTION SHADE SOIL_FERTILITY ,,True
,Kithulu,FIREWOOD SHADE SOIL_FERTILITY ,,False
,Ngalawa,FODDER FRUITS FIREWOOD SHADE ,,True
,Kiuuku,FIREWOOD CONSTRUCTION SHADE SOIL_FERTILITY ,,False
,Itithi,FODDER FIREWOOD CONSTRUCTION SHADE SOIL_FERTILITY ,,False
Melia Volkensi,Mukau,FODDER MEDICINAL FIREWOOD CONSTRUCTION SHADE SOIL_FERTILITY ,,False
,mululi,SOIL_FERTILITY SHADE CONSTRUCTION FODDER FIREWOOD ,,False
,acacia,SHADE CONSTRUCTION FODDER FIREWOOD ,fencing material,False
,muuku,MEDICINAL SOIL_FERTILITY SHADE CONSTRUCTION FIREWOOD ,,False
,itula,SOIL_FERTILITY CONSTRUCTION ,,False
,mwelandathe,MEDICINAL SOIL_FERTILITY SHADE CONSTRUCTION FODDER FIREWOOD ,,False
,musemei,SOIL_FERTILITY CONSTRUCTION FODDER FIREWOOD ,fencing material,False
,muvingo,SOIL_FERTILITY CONSTRUCTION FODDER FIREWOOD ,,False
,kisaaya,SHADE CONSTRUCTION FODDER FIREWOOD ,,False
,kiundua,SOIL_FERTILITY SHADE CONSTRUCTION FIREWOOD ,,False
,imuna,SHADE CONSTRUCTION FIREWOOD ,,False
,mumele,CONSTRUCTION FIREWOOD ,,False
,muthaalwa,CONSTRUCTION FIREWOOD ,,False
,kiuuku,FIREWOOD CONSTRUCTION SOIL_FERTILITY SHADE ,,False
,mwela ndathe,FIREWOOD CONSTRUCTION SHADE MEDICINAL ,,False
,mchora,FIREWOOD CONSTRUCTION SOIL_FERTILITY SHADE ,,False
,kimwaa,FIREWOOD FODDER ,for fencing,False
melia volkensii,mukau,FIREWOOD FODDER CONSTRUCTION SHADE ,,False
,kisaaya,FIREWOOD FODDER CONSTRUCTION FRUITS ,,True
,muthiia,FIREWOOD FODDER CONSTRUCTION ,for fencing,False
,kalila,FIREWOOD SHADE MEDICINAL ,,False
,kaluli,FIREWOOD FODDER CONSTRUCTION SHADE ,,False
,Ndau,CONSTRUCTION ,fence,False
,unknown name,FIREWOOD CONSTRUCTION SHADE ,,False
,unknown,SHADE ,,False
,mlezeni,SHADE ,,False
,lucina,SHADE ,,False
,Mzambarau,SHADE ,,False
,Mkwaju,SHADE ,,False
,Mchrismass,SHADE ,,False
,Mjohoro,SHADE ,,False
,MUEMBE,FODDER FRUITS SHADE FIREWOOD ,,True
melia volkensi,Mukau,MEDICINAL SHADE FODDER FIREWOOD CONSTRUCTION SOIL_FERTILITY ,,False
,Kiuuku,SHADE FODDER FIREWOOD CONSTRUCTION SOIL_FERTILITY ,,False
,Kisemei,MEDICINAL SHADE FIREWOOD SOIL_FERTILITY ,,False
,Muange,SHADE FODDER FIREWOOD CONSTRUCTION SOIL_FERTILITY ,,False
,Kiusya,CONSTRUCTION ,Threads,False
,Mwaa wa usi,SHADE FODDER FIREWOOD CONSTRUCTION SOIL_FERTILITY ,,False
,Itula,SHADE FIREWOOD CONSTRUCTION SOIL_FERTILITY ,,False
,Kiluli,FIREWOOD CONSTRUCTION ,carving,False
Acacia tortillis,Mwaa,SHADE FODDER FIREWOOD SOIL_FERTILITY ,,False
,Kiumo,SHADE FIREWOOD CONSTRUCTION SOIL_FERTILITY ,shrine,False
,Kiamba,FRUITS SHADE SOIL_FERTILITY ,Weaving,True
,Ikuu,SHADE FIREWOOD SOIL_FERTILITY ,,False
melia volkensi,Mukau,MEDICINAL SHADE FODDER FIREWOOD CONSTRUCTION SOIL_FERTILITY ,,False
,Kiuuku,SHADE FODDER FIREWOOD CONSTRUCTION SOIL_FERTILITY ,,False
,Kisemei,MEDICINAL SHADE FIREWOOD SOIL_FERTILITY ,,False
,Muange,SHADE FODDER FIREWOOD CONSTRUCTION SOIL_FERTILITY ,,False
,Kiusya,CONSTRUCTION ,Threads,False
,Mwaa wa usi,SHADE FODDER FIREWOOD CONSTRUCTION SOIL_FERTILITY ,,False
,Itula,SHADE FIREWOOD CONSTRUCTION SOIL_FERTILITY ,,False
,Kiluli,FIREWOOD CONSTRUCTION ,carving,False
