Scientific Name,Local Name,Tree Usage,Other Usages,has_fruits
,muthinia,CONSTRUCTION FIREWOOD SHADE ,,False
,mukuluu,SOIL_FERTILITY FIREWOOD FODDER ,,False
,kilului,MEDICINAL SHADE FIREWOOD FRUITS ,,True
,mutiithi,CONSTRUCTION SHADE FIREWOOD ,,False
,mrimbo,FIREWOOD SOIL_FERTILITY SHADE ,,False
white supporter,white supporter,FRUITS SOIL_FERTILITY SHADE ,,True
bluegum,blue gum,FIREWOOD SHADE CONSTRUCTION ,,False
macademia,macademia,SOIL_FERTILITY NUTS ,,False
avocado,avocado,FRUITS SOIL_FERTILITY ,,True
,mgima,SOIL_FERTILITY CONSTRUCTION SHADE FIREWOOD ,,False
,Blue gam,FIREWOOD CONSTRUCTION ,,False
,mkuyu,SOIL_FERTILITY FIREWOOD FODDER FRUITS ,,True
,musu,SOIL_FERTILITY FIREWOOD FRUITS ,,True
,mrimbo,SOIL_FERTILITY FIREWOOD FRUITS ,,True
,gerevilia,CONSTRUCTION SOIL_FERTILITY FIREWOOD ,,False
,mupatumala,CONSTRUCTION FIREWOOD ,,False
,mugima,CONSTRUCTION SOIL_FERTILITY FIREWOOD MEDICINAL ,,False
,movakado,FODDER CONSTRUCTION FRUITS SOIL_FERTILITY FIREWOOD ,,True
,msuruwache,SOIL_FERTILITY FODDER SHADE FIREWOOD ,,False
,macadamia,NUTS SOIL_FERTILITY FIREWOOD ,,False
,msanduku,MEDICINAL FIREWOOD SOIL_FERTILITY CONSTRUCTION ,,False
,msumbesu,FIREWOOD SOIL_FERTILITY SHADE CONSTRUCTION ,,False
,msuruwache,MEDICINAL FIREWOOD SOIL_FERTILITY SHADE ,,False
