,Tree Scientific Name,Tree Local Name,Total Trees Planted,Total Trees Survived,Tree Usage,Other Tree Usages,has_fruits,country_x,verbatim_name,nameSource_x,country_y,scientificName,rank,status,kingdom,phylum,order,family,genus,species,confidence,canonicalName,species_matched_from_accepted,country_matched_from,source,verbatim_name_from_gbif,match_score,match_status,nameSource_y,original_name_gbif_local,species_matched_from_gbif_local,_merge,cleaned_scientific_name
629,Roystonea regia,Royal palm,20,15,SHADE SOIL_FERTILITY ,,FALSE,Kenya,royal palm,local_name (replaced NA),Kenya,Roystonea regia (Kunth) O.F.Cook,SPECIES,ACCEPTED,Plantae,Tracheophyta,Arecales,Arecaceae,Roystonea,Roystonea regia,100,Roystonea regia,Royal palm,Kenya,V,roystonea regia,0,Accepted,scientific_name,royal palm,Royal palm,both,Roystonea regia
630,Azadirachta indica,Mwarobaini,50,38,FODDER FIREWOOD CONSTRUCTION SHADE SOIL_FERTILITY ,,FALSE,Kenya,mwarobaini,local_name (replaced NA),Kenya,Azadirachta indica A.Juss.,SPECIES,ACCEPTED,Plantae,Tracheophyta,Sapindales,Meliaceae,Azadirachta,Azadirachta indica,100,Azadirachta indica,Mwarubaini,Kenya,R,azadirachta indica,0.040000000000000036,Accepted,scientific_name,mwarubaini,Mwarubaini,both,Azadirachta indica
631,Citrus,Blood orange,100,95,FODDER FIREWOOD FRUITS SHADE SOIL_FERTILITY ,,TRUE,Kenya,citrus osbec,scientific_name,Kenya,Citrus L.,GENUS,ACCEPTED,Plantae,Tracheophyta,Sapindales,Rutaceae,Citrus,,96,Citrus,,,,,,,,,,both,Citrus
632,Melia volkensii,kirumbutu,30,25,SHADE FIREWOOD CONSTRUCTION ,furniture,FALSE,Kenya,kirumbutu,local_name (replaced NA),Kenya,Melia volkensii Gürke,SPECIES,ACCEPTED,Plantae,Tracheophyta,Sapindales,Meliaceae,Melia,Melia volkensii,100,Melia volkensii,Kirumbutu,Kenya,R,melia volkensii,0,Accepted,scientific_name,mukau,Mukau,both,Melia volkensii
633,Oxytenanthera abyssinica,Bamboo,30,24,SHADE ,,FALSE,Kenya,bamboo,local_name (replaced NA),Kenya,Oxytenanthera abyssinica (A.Rich.) Munro,SPECIES,ACCEPTED,Plantae,Tracheophyta,Poales,Poaceae,Oxytenanthera,Oxytenanthera abyssinica,100,Oxytenanthera abyssinica,bamboo,Kenya,V,oxytenanthera abyssinica,0,Accepted,scientific_name,bamboo,bamboo,both,Oxytenanthera abyssinica
634,Roystonea regia,Royal palm,20,15,SHADE SOIL_FERTILITY ,,FALSE,Kenya,royal palm,local_name (replaced NA),Kenya,Roystonea regia (Kunth) O.F.Cook,SPECIES,ACCEPTED,Plantae,Tracheophyta,Arecales,Arecaceae,Roystonea,Roystonea regia,100,Roystonea regia,Royal palm,Kenya,V,roystonea regia,0,Accepted,scientific_name,royal palm,Royal palm,both,Roystonea regia
635,Monoon longifolium,Ashok,20,15,SHADE SOIL_FERTILITY ,flower,FALSE,Kenya,ashok,local_name (replaced NA),Kenya,Monoon longifolium (Sonn.) B.Xue & R.M.K.Saunders,SPECIES,SYNONYM,Plantae,Tracheophyta,Magnoliales,Annonaceae,Polyalthia,Polyalthia longifolia,100,Monoon longifolium,ashok,Kenya,V,monoon longifolium,0,Accepted,scientific_name,ashok,ashok,both,Monoon longifolium
636,Mangifera indica,Mango,500,420,FODDER FIREWOOD FRUITS SHADE SOIL_FERTILITY ,,TRUE,Kenya,mangifera indica,scientific_name,Kenya,Mangifera indica L.,SPECIES,ACCEPTED,Plantae,Tracheophyta,Sapindales,Anacardiaceae,Mangifera,Mangifera indica,99,Mangifera indica,,,,,,,,,,both,Mangifera indica
637,Citrus limon,itimo,1000,800,FODDER FIREWOOD FRUITS SHADE SOIL_FERTILITY ,,TRUE,Kenya,citrus limon,scientific_name,Kenya,Citrus × limon (L.) Osbeck,SPECIES,ACCEPTED,Plantae,Tracheophyta,Sapindales,Rutaceae,Citrus,Citrus limon,99,Citrus limon,,,,,,,,,,both,Citrus limon
638,Citrus limon,itimo,1000,800,FODDER FIREWOOD FRUITS SHADE SOIL_FERTILITY ,,TRUE,Kenya,citrus limon,scientific_name,Kenya,Citrus × limon (L.) Osbeck,SPECIES,ACCEPTED,Plantae,Tracheophyta,Sapindales,Rutaceae,Citrus,Citrus limon,99,Citrus limon,,,,,,,,,,both,Citrus limon
639,Leucaena leucocephala,lucina,100,70,SHADE ,,FALSE,Kenya,lucina,local_name (replaced NA),Kenya,Leucaena leucocephala (Lam.) de Wit,SPECIES,ACCEPTED,Plantae,Tracheophyta,Fabales,Fabaceae,Leucaena,Leucaena leucocephala,99,Leucaena leucocephala,Lusina,Kenya,R,leucaena leucocephala,0.088888889,Accepted,scientific_name,lucina,Lusina,both,Leucaena leucocephala
640,,mshilingi,1200,1150,CONSTRUCTION FIREWOOD SHADE ,,FALSE,Kenya,mshilingi,local_name (replaced NA),,,,,,,,,,,,,,,,,,,,,,left_only,
641,,mshilingi,1200,1150,CONSTRUCTION FIREWOOD SHADE ,,FALSE,Kenya,mshilingi,local_name (replaced NA),,,,,,,,,,,,,,,,,,,,,,left_only,
642,,mshilingi,1200,1150,CONSTRUCTION SHADE ,,FALSE,Kenya,mshilingi,local_name (replaced NA),,,,,,,,,,,,,,,,,,,,,,left_only,
643,,mshilingi,1200,1150,CONSTRUCTION SHADE ,,FALSE,Kenya,mshilingi,local_name (replaced NA),,,,,,,,,,,,,,,,,,,,,,left_only,
644,Eucalyptus,eucalyptus,180,150,SHADE FIREWOOD CONSTRUCTION ,,FALSE,Kenya,eucalyptus,local_name (replaced NA),Kenya,Eucalyptus L'Hér.,GENUS,ACCEPTED,Plantae,Tracheophyta,Myrtales,Myrtaceae,Eucalyptus,,95,Eucalyptus,eucalyptus,,T,eucalyptus spp,0,Accepted,scientific_name,eucalyptus,eucalyptus,both,Eucalyptus
645,Grevillea robusta,Gravelia,51,51,SHADE ,,FALSE,Kenya,gravelia,local_name (replaced NA),Kenya,Grevillea robusta A.Cunn. ex R.Br.,SPECIES,ACCEPTED,Plantae,Tracheophyta,Proteales,Proteaceae,Grevillea,Grevillea robusta,99,Grevillea robusta,gravelia,,J,grevillea robusta,0,Accepted,scientific_name,mukima,Mukima,both,Grevillea robusta
646,Juniperus procera,cider,50,40,CONSTRUCTION ,,FALSE,Kenya,cider,local_name (replaced NA),Kenya,Juniperus procera Hochst. ex Endl.,SPECIES,ACCEPTED,Plantae,Tracheophyta,Pinales,Cupressaceae,Juniperus,Juniperus procera,99,Juniperus procera,cider,,J,juniperus procera,0,Accepted,scientific_name,mutalakwe,Mutarakwa,both,Juniperus procera
647,Moringa oleifera,mkimbo,540,530,MEDICINAL ,,FALSE,Kenya,moringa oleifera,scientific_name,Kenya,Moringa oleifera Lam.,SPECIES,ACCEPTED,Plantae,Tracheophyta,Brassicales,Moringaceae,Moringa,Moringa oleifera,99,Moringa oleifera,,,,,,,,,,both,Moringa oleifera
648,Aleurites moluccanus,Candlenutt,8,8,MEDICINAL NUTS OTHER ,conservation,FALSE,Kenya,candlenutt,local_name (replaced NA),Kenya,Aleurites moluccanus (L.) Willd.,SPECIES,ACCEPTED,Plantae,Tracheophyta,Malpighiales,Euphorbiaceae,Aleurites,Aleurites moluccanus,98,Aleurites moluccanus,Candle-nut  tree,Uganda,R,aleurites moluccana,0.075,Accepted,scientific_name,candlenutt,Candle-nut  tree,both,Aleurites moluccanus
649,Senna spectabilis,Cassia,20,18,SHADE FIREWOOD ,,FALSE,Kenya,cassia,local_name (replaced NA),Kenya,Senna spectabilis (DC.) H.S.Irwin & Barneby,SPECIES,ACCEPTED,Plantae,Tracheophyta,Fabales,Fabaceae,Senna,Senna spectabilis,100,Senna spectabilis,Cassia,Uganda,R,senna spectabilis,0,Accepted,scientific_name,senna,senna,both,Senna spectabilis
